,0,1,2,3,4,5,6
0,(0.956695556640625+0j),(0.5084228515625+0j),(-0.146820068359375+0j),(-0.056365966796875+0j),(0.13037109375+0j),(0.081787109375+0j),(-0.012420654296875+0j)
1,(-0.89093017578125+0j),(-0.76580810546875+0j),(-0.498046875+0j),(-0.1678466796875+0j),(-0.098358154296875+0j),(-0.106658935546875+0j),(0.059722900390625-0.0137939453125j)
2,(0.4512939453125+0j),(-0.181640625+0j),(-0.321929931640625+0j),(-0.09423828125+0j),(0.033203125+0j),(0.048583984375+0j),(0.1314697265625+0.13677978515625j)
3,(-0.032257080078125+0j),(-0.33160400390625+0j),(-0.251190185546875+0j),(-0.03387451171875+0j),(-0.114990234375+0j),-0.00830078125j,(0.047149658203125-0.05340576171875j)
4,(0.8834228515625+0j),(0.63909912109375+0j),(0.423248291015625+0j),(0.317108154296875+0j),(-0.186737060546875+0j),(-0.093353271484375+0.063720703125j),(-0.16143798828125-0.019683837890625j)
5,(-0.186279296875+0j),(0.21923828125+0j),(0.091552734375+0j),(-0.02886962890625+0j),(-0.04913330078125+0.04913330078125j),(-0.05322265625-0.00408935546875j),(0.02703857421875+0.0487060546875j)
6,(0.838470458984375+0j),(0.575775146484375+0j),(0.5887451171875+0j),(0.160675048828125+0j),0.12744140625j,(-0.093353271484375-0.063720703125j),(-0.021270751953125-0.008697509765625j)
7,(-0.68170166015625+0j),(-0.4141845703125+0j),(0.13238525390625+0j),(-0.196136474609375+0j),(-0.057342529296875-0.057342529296875j),(0.05322265625-0.00408935546875j),(-0.014617919921875+0.0098876953125j)
8,(0.989532470703125+0j),(0.023223876953125+0j),(0.0340576171875+0j),(-0.090423583984375+0j),(-0.045196533203125-0.05303955078125j),(-0.13848876953125-0.061920166015625j),(-0.073272705078125+0.029815673828125j)
9,(-0.17401123046875+0j),(-0.58270263671875+0j),(0.162322998046875+0j),(-0.30499267578125+0.126312255859375j),(-0.175506591796875+0.007537841796875j),(-0.18438720703125+0.02252197265625j),(0.029205322265625-0.04315185546875j)
10,(-0.633697509765625+0j),(-0.1619873046875+0j),(0.133453369140625+0j),(-0.160980224609375+0.160980224609375j),(-0.2318115234375-0.070831298828125j),(0.093292236328125+0.008880615234375j),(0.01519775390625+0.073394775390625j)
11,(-0.30780029296875+0j),(-0.124267578125+0j),(0.18341064453125+0j),(-0.0831298828125+0.200714111328125j),(-0.19329833984375+0.037506103515625j),(-0.014984130859375-0.008880615234375j),(-0.05706787109375-0.046630859375j)
12,(0.261566162109375+0j),(0.08746337890625+0j),(0.21099853515625+0j),-0.106109619140625j,(-0.045196533203125+0.05303955078125j),(0.093292236328125-0.008880615234375j),(0.05413818359375-0.008880615234375j)
13,(-0.931610107421875+0j),(-0.79425048828125+0j),(-0.1492919921875+0j),(-0.046051025390625-0.111236572265625j),(-0.007537841796875+0.175506591796875j),(0.014984130859375-0.008880615234375j),(-0.043212890625+0.07958984375j)
14,(-0.225616455078125+0j),(-0.489501953125+0j),(-0.267364501953125+0j),(-0.302642822265625-0.302642822265625j),(0.2318115234375-0.070831298828125j),(-0.13848876953125+0.061920166015625j),(0.01934814453125+0.009765625j)
15,(-0.977783203125+0j),(-0.808868408203125+0j),(-0.524688720703125+0j),(-0.303497314453125-0.125701904296875j),(0.037506103515625-0.193267822265625j),(0.18438720703125+0.02252197265625j),(-0.0361328125+0.0504150390625j)
16,(-0.861236572265625+0j),(-0.80206298828125+0j),(0.655242919921875+0j),(0.327606201171875+0.005401611328125j),(0.223785400390625-0.01361083984375j),(0.167236328125+0.03271484375j),(0.0242919921875-0.004150390625j)
17,(-0.659393310546875+0j),(-0.23028564453125+0j),(-0.262603759765625+0.052215576171875j),(-0.058624267578125+0.391448974609375j),(0.1224365234375+0.258758544921875j),(0.095733642578125+0.2408447265625j),(-0.03265380859375-0.07586669921875j)
18,(-0.538726806640625+0j),(-0.462249755859375+0j),(0.12957763671875-0.05364990234375j),(0.121307373046875+0.109619140625j),(0.110687255859375+0.07904052734375j),(0.056549072265625-0.04632568359375j),(0.037200927734375-0.0364990234375j)
19,(-0.451263427734375+0j),(-0.1707763671875+0j),(-0.06683349609375+0.044647216796875j),(0.052032470703125+0.15020751953125j),(0.06903076171875+0.22296142578125j),(0.01788330078125-0.026702880859375j),(-0.0179443359375-0.0423583984375j)
20,(0.5562744140625+0j),(0.2073974609375+0j),(0.152618408203125-0.152618408203125j),(0.119964599609375-0.032623291015625j),(0.10382080078125+0.019012451171875j),(0.06719970703125+0.00421142578125j),(0.039154052734375+0j)
21,(-0.16796875+0j),(-0.036102294921875+0j),(0.070892333984375-0.106109619140625j),(0.30352783203125+0.126068115234375j),(-0.034210205078125+0.221832275390625j),(-0.03680419921875+0.142608642578125j),(0.046966552734375+0.032745361328125j)
22,(0.714874267578125+0j),(0.60174560546875+0j),(-0.00494384765625+0.011962890625j),(0.10009765625+0.0484619140625j),(0.03057861328125-0.010589599609375j),(0.03662109375+0.014801025390625j),(0.051971435546875+0.0692138671875j)
23,(0.796966552734375+0j),(0.678955078125+0j),(-0.106597900390625+0.536041259765625j),(0.086029052734375+0.29571533203125j),(-0.0394287109375+0.06341552734375j),(0.079193115234375-0.002593994140625j),(0.077423095703125-0.03375244140625j)
24,(0.7904052734375+0j),(0.044921875+0j),0.010833740234375j,(0.327606201171875-0.005401611328125j),(0.10382080078125-0.019012451171875j),(0.03662109375-0.014801025390625j),(-0.020050048828125-0.033905029296875j)
25,(0.89532470703125+0j),(0.907379150390625+0j),(0.14532470703125+0.730682373046875j),(-0.31817626953125-0.2353515625j),(-0.221832275390625+0.0341796875j),(-0.079193115234375-0.00262451171875j),(0.01312255859375-0.032012939453125j)
26,(0.151702880859375+0j),(0.428924560546875+0j),(0.113037109375+0.272918701171875j),(-0.109588623046875-0.121246337890625j),(-0.030548095703125-0.010589599609375j),(0.067169189453125-0.00421142578125j),(0.057891845703125+0.006103515625j)
27,(0.34234619140625+0j),(0.4910888671875+0j),(0.1708984375+0.25579833984375j),(-0.142974853515625+0.069427490234375j),(0.063446044921875-0.0394287109375j),(0.03680419921875+0.14263916015625j),(0.008209228515625+0.0220947265625j)
28,(0.76300048828125+0j),(0.33453369140625+0j),(0.08734130859375+0.08734130859375j),(-0.119964599609375-0.032623291015625j),(0.223785400390625+0.01361083984375j),(0.05657958984375+0.046295166015625j),(0.02294921875+0.042205810546875j)
