,0,1,2,3,4,5,6
0,(-0.858367919921875+0j),(-0.7298126220703125+0j),(-0.28777313232421875+0j),(-0.027790069580078125+0j),(0.12994956970214844+0j),(-0.027250289916992188+0j),(0.044001102447509766+0j)
1,(-0.13079833984375+0j),(0.355865478515625+0j),(0.14603424072265625+0j),(0.10641098022460938+0j),(0.1513519287109375+0j),(0.11525249481201172+0j),(-0.014707633294165134-0.013693349435925484j)
2,(-0.507476806640625+0j),(0.2165985107421875+0j),(0.046417236328125+0j),(0.07378005981445312+0j),(-0.1844501495361328+0j),(0.15719985961914062+0j),(-0.01616508886218071+0.09052488952875137j)
3,(-0.108612060546875+0j),(0.3221435546875+0j),(0.10871124267578125+0j),(-0.034027099609375+0j),(0.07915306091308594+0j),(2.2104528087675458e-18-0.03609943389892578j),(-0.055655863136053085-0.01213704515248537j)
4,(-0.487823486328125+0j),(0.0497283935546875+0j),(0.40618133544921875+0j),(0.287689208984375+0j),(-0.15773963928222656+0j),(-0.07886981964111327-0.12911510467529297j),(-0.08928453922271729-0.10532887279987335j)
5,(0.72296142578125+0j),(0.267669677734375+0j),(0.6067962646484375+0j),(0.19629287719726562+0j),(-0.03177804942763793+0.03177804942763793j),(0.024126204786788084+0.05590425421442602j),(-0.10855524986982346+0.09052572399377823j)
6,(0.120849609375+0j),(-0.1291351318359375+0j),(-0.28740692138671875+0j),(-0.44268035888671875+0j),(1.58120399662173e-17-0.25823020935058594j),(-0.0788698196411133+0.12911510467529297j),(-0.015554902143776417-0.07488507777452469j)
7,(0.488555908203125+0j),(0.1478271484375+0j),(0.47298431396484375+0j),(0.19233322143554688+0j),(0.0800304590012141+0.08003045900121411j),(-0.024126204786788095+0.05590425421442601j),(0.025151507928967476+0.09997530281543732j)
8,(0.85302734375+0j),(-0.056243896484375+0j),(0.2321929931640625+0j),(-0.2599830627441406+0j),(-0.1299915313720703-0.059246063232421875j),(-0.09728160034453233-0.052234647254911545j),(-0.027371807023882866-0.03660542517900467j)
9,(-0.010162353515625+0j),(-0.38720703125+0j),(0.0667877197265625+0j),(0.03660711938550848-0.015163165328888655j),(-0.06024286296090113-0.1972094215107885j),(-0.08128748183269108-0.15842309983738673j),(0.024690276011824608+0.01086835004389286j)
10,(-0.062896728515625+0j),(-0.0576934814453125+0j),(0.10114288330078125+0j),(-0.019348438039593147+0.019348438039593147j),(-0.06457166931699435-0.045223231277401216j),(-0.03270993102753798-0.00701141597751033j),(0.002735248301178217-0.027129100635647774j)
11,(-0.74407958984375+0j),(-0.45703125+0j),(-0.17676544189453125+0j),(0.05462359875578664-0.13187303294184619j),(-0.10233210070448101-0.11963677816398498j),(-0.03878632167340176-0.021044618871789943j),(0.01824377290904522-0.02371448650956154j)
12,(0.56854248046875+0j),(0.4379119873046875+0j),(0.16919708251953125+0j),(7.255550169966713e-18-0.11849212646484375j),(-0.1299915313720703+0.059246063232421875j),(-0.032709931027537976+0.00701141597751034j),(0.003038195427507162-0.0070166015066206455j)
13,(-0.860992431640625+0j),(-0.3697662353515625+0j),(-0.21421051025390625+0j),(-0.15709284530731074-0.3792556776926883j),(0.1972094215107885+0.06024286296090117j),(0.03878632167340178-0.021044618871789947j),(0.013762489892542362-0.00014016377099324018j)
14,(-0.273223876953125+0j),(-0.5370635986328125+0j),(-0.5979537963867188+0j),(-0.10979490059439555-0.10979490059439558j),(0.06457166931699436-0.045223231277401195j),(-0.09728160034453234+0.05223464725491153j),(-0.09162867069244385-0.03161557391285896j)
