,0,1,2,3,4,5
0,(0.0078125+0j),(0.0076904296875+0j),(0.0078125+0j),(0.00732421875+0j),(0.0078125+0j),(0.0078125+0j)
1,(-0.0294189453125+0.01812744140625j),(-0.0296630859375+0.0179443359375j),(-0.029541015625+0.018310546875j),(-0.02978515625+0.01806640625j),(-0.029296875+0.0185546875j),(-0.029296875+0.017578125j)
2,(0.003997802734375+0.00421142578125j),(0.00390625+0.0045166015625j),(0.00390625+0.00390625j),(0.00439453125+0.00439453125j),(0.00390625+0.00390625j),(0.00390625+0.00390625j)
3,(0.04534912109375+0.013458251953125j),(0.0455322265625+0.0133056640625j),(0.04541015625+0.01318359375j),(0.0458984375+0.013671875j),(0.0458984375+0.013671875j),(0.044921875+0.013671875j)
4,(0.003265380859375+0.03790283203125j),(0.003204345703125+0.03814697265625j),(0.003173828125+0.03759765625j),(0.0029296875+0.03759765625j),(0.0029296875+0.0380859375j),(0.00390625+0.037109375j)
5,(0.016387939453125+0.090301513671875j),(0.0166015625+0.090362548828125j),(0.016845703125+0.08984375j),(0.0166015625+0.09033203125j),(0.0166015625+0.08984375j),(0.015625+0.08984375j)
6,(-0.022186279296875-0.11358642578125j),(-0.02215576171875-0.113525390625j),(-0.0224609375-0.11376953125j),(-0.02197265625-0.11376953125j),(-0.0224609375-0.11328125j),(-0.021484375-0.11328125j)
7,(0.03277587890625-0.02362060546875j),(0.032745361328125-0.02374267578125j),(0.03271484375-0.02392578125j),(0.03271484375-0.0234375j),(0.0322265625-0.0244140625j),(0.033203125-0.0234375j)
8,(-0.036865234375+0.152374267578125j),(-0.036956787109375+0.152252197265625j),(-0.03662109375+0.15216064453125j),(-0.03662109375+0.15234375j),(-0.037109375+0.15234375j),(-0.037109375+0.15234375j)
9,(-0.02215576171875+0.06573486328125j),(-0.021697998046875+0.06561279296875j),(-0.02227783203125+0.065338134765625j),(-0.02197265625+0.0654296875j),(-0.0224609375+0.0654296875j),(-0.021484375+0.06640625j)
10,(0.009002685546875-0.00286865234375j),(0.009063720703125-0.0029296875j),(0.008941650390625-0.0029296875j),(0.0087890625-0.0029296875j),(0.0087890625-0.0029296875j),(0.009765625-0.001953125j)
11,(-0.0440673828125+0.020111083984375j),(-0.04412841796875+0.0201416015625j),(-0.043975830078125+0.019927978515625j),(-0.0439453125+0.02001953125j),(-0.0439453125+0.0205078125j),(-0.044921875+0.01953125j)
12,(0.008209228515625-0.052215576171875j),(0.008270263671875-0.052093505859375j),(0.00811767578125-0.052520751953125j),(0.00830078125-0.052734375j),(0.0078125-0.052734375j),(0.0078125-0.052734375j)
13,(0.029205322265625-0.130157470703125j),(0.029144287109375-0.130401611328125j),(0.029327392578125-0.13006591796875j),(0.02880859375-0.13037109375j),(0.029296875-0.1298828125j),(0.029296875-0.130859375j)
14,(0.05157470703125+0.0098876953125j),(0.051422119140625+0.009918212890625j),(0.051483154296875+0.009796142578125j),(0.0517578125+0.009765625j),(0.05078125+0.009765625j),(0.05078125+0.009765625j)
15,(-0.054107666015625-0.057830810546875j),(-0.054229736328125-0.05780029296875j),(-0.05426025390625-0.05780029296875j),(-0.0537109375-0.0576171875j),(-0.0546875-0.0576171875j),(-0.0546875-0.05859375j)
16,(0.04449462890625-0.00299072265625j),(0.04443359375-0.0028076171875j),(0.04443359375-0.0029296875j),(0.04443359375-0.0029296875j),(0.0439453125-0.0029296875j),(0.044921875-0.001953125j)
17,(-0.02899169921875-0.052490234375j),(-0.029052734375-0.052490234375j),(-0.029052734375-0.052001953125j),(-0.02978515625-0.05224609375j),(-0.029296875-0.0517578125j),(-0.029296875-0.052734375j)
18,(0.040924072265625-0.04840087890625j),(0.040771484375-0.0487060546875j),(0.040771484375-0.048583984375j),(0.041015625-0.048828125j),(0.041015625-0.048828125j),(0.041015625-0.048828125j)
19,(-0.05987548828125-0.0458984375j),(-0.06005859375-0.04541015625j),(-0.06005859375-0.0458984375j),(-0.06005859375-0.04541015625j),(-0.060546875-0.0458984375j),(-0.060546875-0.044921875j)
20,(-0.086151123046875-0.054534912109375j),(-0.086029052734375-0.054473876953125j),(-0.086181640625-0.05419921875j),(-0.08642578125-0.0546875j),(-0.0859375-0.0546875j),(-0.0859375-0.0546875j)
21,(-0.04217529296875+0.09124755859375j),(-0.042205810546875+0.091278076171875j),(-0.0419921875+0.091552734375j),(-0.0419921875+0.09130859375j),(-0.0419921875+0.0908203125j),(-0.04296875+0.091796875j)
22,(0.09716796875-0.014892578125j),(0.097320556640625-0.014678955078125j),(0.097412109375-0.014892578125j),(0.09765625-0.0146484375j),(0.0966796875-0.0146484375j),(0.09765625-0.015625j)
23,(0.0478515625-0.030731201171875j),(0.047698974609375-0.03076171875j),(0.0478515625-0.03076171875j),(0.04736328125-0.03125j),(0.0478515625-0.0302734375j),(0.046875-0.03125j)
24,(-0.025238037109375+0.070343017578125j),(-0.025054931640625+0.070220947265625j),(-0.02490234375+0.07012939453125j),(-0.02490234375+0.0703125j),(-0.025390625+0.0703125j),(-0.025390625+0.0703125j)
25,(-0.094818115234375-0.0224609375j),(-0.095062255859375-0.0224609375j),(-0.0948486328125-0.02239990234375j),(-0.09521484375-0.0224609375j),(-0.0947265625-0.0224609375j),(-0.095703125-0.0234375j)
26,(-0.033660888671875-0.03179931640625j),(-0.033416748046875-0.031646728515625j),(-0.03375244140625-0.031982421875j),(-0.03369140625-0.03173828125j),(-0.0341796875-0.03125j),(-0.033203125-0.03125j)
27,(-0.09503173828125-0.033233642578125j),(-0.095123291015625-0.0330810546875j),(-0.094970703125-0.033203125j),(-0.0947265625-0.03369140625j),(-0.0947265625-0.033203125j),(-0.095703125-0.033203125j)
28,(-0.004913330078125-0.050537109375j),(-0.0050048828125-0.05059814453125j),(-0.004852294921875-0.050506591796875j),(-0.0048828125-0.05029296875j),(-0.0048828125-0.0498046875j),(-0.00390625-0.05078125j)
29,(0.040283203125+0.008514404296875j),(0.040069580078125+0.0084228515625j),(0.040130615234375+0.0086669921875j),(0.0400390625+0.0087890625j),(0.0400390625+0.0078125j),(0.041015625+0.0078125j)
30,(-0.0189208984375-0.01983642578125j),(-0.019073486328125-0.019775390625j),(-0.019134521484375-0.01947021484375j),(-0.01904296875-0.01904296875j),(-0.01953125-0.01953125j),(-0.01953125-0.01953125j)
31,(0.091796875-0.034515380859375j),(0.091522216796875-0.034423828125j),(0.09197998046875-0.034637451171875j),(0.09130859375-0.03466796875j),(0.091796875-0.0341796875j),(0.091796875-0.03515625j)
32,(-0.0223388671875+0j),(-0.0223388671875+0j),(-0.0224609375+0j),(-0.02197265625+0j),(-0.021484375+0j),(-0.021484375+0j)
33,(0.0919189453125+0.03460693359375j),(0.0916748046875+0.0345458984375j),(0.092041015625+0.034423828125j),(0.09228515625+0.03466796875j),(0.091796875+0.0341796875j),(0.091796875+0.03515625j)
34,(-0.0189208984375+0.01983642578125j),(-0.01904296875+0.0196533203125j),(-0.01904296875+0.01953125j),(-0.01904296875+0.01904296875j),(-0.01953125+0.01953125j),(-0.01953125+0.01953125j)
35,(0.040069580078125-0.008544921875j),(0.0401611328125-0.0084228515625j),(0.0400390625-0.0087890625j),(0.0400390625-0.0087890625j),(0.0400390625-0.0078125j),(0.041015625-0.0078125j)
36,(-0.004913330078125+0.050537109375j),(-0.0050048828125+0.05059814453125j),(-0.004638671875+0.05029296875j),(-0.0048828125+0.05029296875j),(-0.0048828125+0.0498046875j),(-0.00390625+0.05078125j)
37,(-0.095001220703125+0.03302001953125j),(-0.09515380859375+0.032867431640625j),(-0.094970703125+0.033203125j),(-0.0947265625+0.03369140625j),(-0.0947265625+0.033203125j),(-0.095703125+0.033203125j)
38,(-0.03363037109375+0.031829833984375j),(-0.03338623046875+0.0316162109375j),(-0.03369140625+0.03173828125j),(-0.03369140625+0.03173828125j),(-0.0341796875+0.03125j),(-0.033203125+0.03125j)
39,(-0.09478759765625+0.022552490234375j),(-0.094818115234375+0.022705078125j),(-0.0947265625+0.0224609375j),(-0.09521484375+0.0224609375j),(-0.0947265625+0.0224609375j),(-0.095703125+0.0234375j)
40,(-0.025238037109375-0.070343017578125j),(-0.025054931640625-0.070220947265625j),(-0.02490234375-0.07012939453125j),(-0.02490234375-0.0703125j),(-0.025390625-0.0703125j),(-0.025390625-0.0703125j)
41,(0.04779052734375+0.03094482421875j),(0.047821044921875+0.03057861328125j),(0.04815673828125+0.03082275390625j),(0.04736328125+0.03125j),(0.0478515625+0.0302734375j),(0.046875+0.03125j)
42,(0.09716796875+0.014892578125j),(0.09710693359375+0.0146484375j),(0.09698486328125+0.0146484375j),(0.09765625+0.0146484375j),(0.0966796875+0.0146484375j),(0.09765625+0.015625j)
43,(-0.042083740234375-0.091156005859375j),(-0.042266845703125-0.0911865234375j),(-0.04193115234375-0.091217041015625j),(-0.0419921875-0.09130859375j),(-0.0419921875-0.0908203125j),(-0.04296875-0.091796875j)
