,0,1,2,3,4,5,6
0,(0.4246826171875+0j),(0.02850341796875+0j),(0.012481689453125+0j),(0.03045654296875+0j),(-0.060394287109375+0j),(0.008056640625+0j),(0.11663818359375+0j)
1,(0.679595947265625+0j),(0.73455810546875+0j),(0.681549072265625+0j),(0.28118896484375+0j),(0.33294677734375+0j),(0.2252197265625+0j),(0.000732421875-0.01373291015625j)
2,(-0.634796142578125+0j),(-0.747802734375+0j),(-0.0174560546875+0j),(0.005035400390625+0j),(0.07647705078125+0j),(-0.06842041015625+0j),(-0.005279541015625-0.02740478515625j)
3,(0.996551513671875+0j),(0.095184326171875+0j),(-0.16461181640625+0j),(0.077667236328125+0j),(0.11749267578125+0j),-0.10772705078125j,(-0.01507568359375+0.077880859375j)
4,(-0.611785888671875+0j),(-0.140777587890625+0j),(-0.16534423828125+0j),(-0.1512451171875+0j),(0.090850830078125+0j),(0.04541015625+0.035736083984375j),(-0.0035400390625-0.018798828125j)
5,(0.341766357421875+0j),(0.469940185546875+0j),(0.71014404296875+0j),(0.38470458984375+0j),(-0.036590576171875+0.036590576171875j),(-0.00421142578125+0.032379150390625j),(0.0855712890625-0.04388427734375j)
6,(-0.81640625+0j),(-0.08905029296875+0j),(-0.11944580078125+0j),(0.14794921875+0j),0.07147216796875j,(0.04541015625-0.035736083984375j),(0.061859130859375+0.07769775390625j)
7,(0.515472412109375+0j),(0.74969482421875+0j),(0.52117919921875+0j),(0.157318115234375+0j),(0.028167724609375+0.028167724609375j),(0.00421142578125+0.032379150390625j),(-0.0372314453125-0.061767578125j)
8,(-0.6973876953125+0j),(0.01104736328125+0j),(0.0484619140625+0j),(-0.01800537109375+0j),(-0.009002685546875+0.007049560546875j),(0.038818359375+0.05474853515625j),(0.020599365234375+0.0340576171875j)
9,(0.413116455078125+0j),(-0.02703857421875+0j),(-0.119171142578125+0j),(0.369873046875-0.1531982421875j),(0.1226806640625-0.2269287109375j),(-0.045867919921875-0.092315673828125j),(-0.0462646484375-0.05859375j)
10,(0.448883056640625+0j),(0.46722412109375+0j),(0.02752685546875+0j),(-0.015899658203125+0.015899658203125j),(0.08660888671875+0.10247802734375j),(-0.04779052734375-0.0477294921875j),(-0.004730224609375+0.07318115234375j)
11,(0.5318603515625+0j),(0.690582275390625+0j),(0.3199462890625+0j),(-0.09271240234375+0.22381591796875j),(-0.21441650390625+0.04229736328125j),(-0.134613037109375-0.168548583984375j),(-0.0260009765625-0.0638427734375j)
12,(-0.117218017578125+0j),(-0.46502685546875+0j),(-0.13714599609375+0j),0.01409912109375j,(-0.009002685546875-0.007049560546875j),(-0.04779052734375+0.0477294921875j),(0.04339599609375-0.060394287109375j)
13,(0.731536865234375+0j),(0.360198974609375+0j),(0.05926513671875+0j),(-0.12451171875-0.3006591796875j),(0.226898193359375-0.122650146484375j),(0.13458251953125-0.16851806640625j),(0.019287109375+0.068634033203125j)
14,(0.975799560546875+0j),(0.142181396484375+0j),(0.415313720703125+0j),(0.1890869140625+0.1890869140625j),(-0.08660888671875+0.10247802734375j),(0.038818359375-0.05474853515625j),(0.021240234375+0.039154052734375j)
15,(-0.768798828125+0j),(-0.74127197265625+0j),(-0.20654296875+0j),(-0.336151123046875-0.13922119140625j),(0.04229736328125-0.21441650390625j),(0.0458984375-0.09228515625j),(-0.01031494140625-0.008056640625j)
16,(0.033782958984375+0j),(-0.0035400390625+0j),(0.016021728515625+0j),(0.00799560546875+0.018707275390625j),(0.066314697265625+0.06298828125j),(-0.03924560546875+0.02520751953125j),(-0.034210205078125-0.053863525390625j)
17,(0.91632080078125+0j),(0.6285400390625+0j),(0.052001953125-0.010345458984375j),(0.01702880859375-0.05035400390625j),(-0.08740234375-0.01702880859375j),(0.0286865234375-0.080047607421875j),(-0.0263671875-0.020263671875j)
18,(0.478271484375+0j),(0.712890625+0j),(-0.674713134765625+0.279449462890625j),(-0.421478271484375-0.063385009765625j),(-0.144775390625-0.0125732421875j),(0.10552978515625+0.03778076171875j),(0.08428955078125+0.076934814453125j)
19,(-0.111572265625+0j),(-0.4244384765625+0j),(0.216033935546875-0.14434814453125j),(0.00506591796875-0.22625732421875j),(0.144775390625-0.14306640625j),(0.063018798828125+0.1160888671875j),(0.0902099609375+0.039794921875j)
20,(-0.390777587890625+0j),(-0.18994140625+0j),(0.01739501953125-0.01739501953125j),(0.1246337890625+0.10723876953125j),(-0.058319091796875-0.04425048828125j),(-0.0545654296875+0.116241455078125j),(-0.0911865234375-0.108154296875j)
21,(0.906036376953125+0j),(0.95037841796875+0j),(-0.133453369140625+0.199737548828125j),(-0.19183349609375+0.016265869140625j),(0.05029296875-0.097412109375j),(0.04510498046875+0.03009033203125j),(0.03631591796875+0.032470703125j)
22,(-0.829742431640625+0j),(-0.149871826171875+0j),(0.011627197265625-0.028076171875j),(0.1319580078125+0.0382080078125j),(-0.05078125+0.2767333984375j),(-0.0037841796875-0.160491943359375j),(-0.049835205078125-0.0430908203125j)
23,(0.521087646484375+0j),(0.292633056640625+0j),(0.044586181640625-0.22412109375j),(0.284515380859375-0.059906005859375j),(0.039947509765625+0.157623291015625j),(-0.12750244140625-0.00518798828125j),(0.02447509765625-0.039886474609375j)
24,(0.686492919921875+0j),(0.08587646484375+0j),0.03741455078125j,(0.00799560546875-0.018707275390625j),(-0.058319091796875+0.04425048828125j),(-0.0037841796875+0.160491943359375j),(0.024810791015625-0.001678466796875j)
25,(-0.6845703125+0j),(-0.2113037109375+0j),(-0.017974853515625-0.090362548828125j),(0.047637939453125+0.023590087890625j),(0.097412109375-0.050262451171875j),(0.12750244140625-0.005126953125j),(0.008636474609375-0.04888916015625j)
26,(-0.34625244140625+0j),(-0.41217041015625+0j),(-0.168243408203125-0.406219482421875j),(0.0633544921875+0.42144775390625j),(0.05078125+0.2767333984375j),(-0.0545654296875-0.116241455078125j),(-0.065643310546875-0.08282470703125j)
27,(-0.3892822265625+0j),(-0.05072021484375+0j),(-0.2059326171875-0.30816650390625j),(0.156402587890625-0.16357421875j),(0.1575927734375+0.03997802734375j),(-0.04510498046875+0.03009033203125j),(0.150115966796875-0.007110595703125j)
28,(0.08416748046875+0j),(0.190765380859375+0j),(0.231842041015625+0.231842041015625j),(-0.1246337890625+0.10723876953125j),(0.066314697265625-0.06298828125j),(0.10552978515625-0.03778076171875j),(0.0423583984375-0.073516845703125j)
