,0,1,2,3,4,5
0,(0.12139892578125+0j),(0.121337890625+0j),(0.121368408203125+0j),(0.12139892578125+0j),(0.121337890625+0j),(0.121337890625+0j)
1,(0.027801513671875+0.004974365234375j),(0.027801513671875+0.00494384765625j),(0.02777099609375+0.004913330078125j),(0.02777099609375+0.0050048828125j),(0.02783203125+0.0048828125j),(0.02783203125+0.0048828125j)
2,(-0.06964111328125+0.0782470703125j),(-0.06964111328125+0.0782470703125j),(-0.069610595703125+0.078216552734375j),(-0.06964111328125+0.07830810546875j),(-0.069580078125+0.0782470703125j),(-0.069580078125+0.078125j)
3,(-0.0601806640625-0.08319091796875j),(-0.060211181640625-0.08319091796875j),(-0.0601806640625-0.083160400390625j),(-0.06024169921875-0.0831298828125j),(-0.0601806640625-0.0831298828125j),(-0.06005859375-0.083251953125j)
4,(-0.02484130859375-0.00146484375j),(-0.02490234375-0.001434326171875j),(-0.02490234375-0.00146484375j),(-0.02484130859375-0.00140380859375j),(-0.0247802734375-0.0013427734375j),(-0.02490234375-0.00146484375j)
5,(-0.05657958984375-0.01580810546875j),(-0.05657958984375-0.015838623046875j),(-0.056549072265625-0.015838623046875j),(-0.056640625-0.015869140625j),(-0.0565185546875-0.0157470703125j),(-0.056640625-0.015869140625j)
6,(-0.06939697265625-0.0726318359375j),(-0.06939697265625-0.0726318359375j),(-0.06939697265625-0.0726318359375j),(-0.0693359375-0.0726318359375j),(-0.0693359375-0.0726318359375j),(-0.0693359375-0.07275390625j)
7,(-0.01708984375+0.038360595703125j),(-0.017120361328125+0.03839111328125j),(-0.017120361328125+0.03839111328125j),(-0.01715087890625+0.03839111328125j),(-0.01708984375+0.0384521484375j),(-0.01708984375+0.038330078125j)
8,(0.00030517578125-0.01043701171875j),(0.000244140625-0.01043701171875j),(0.00030517578125-0.01043701171875j),(0.00030517578125-0.01043701171875j),(0.000244140625-0.010498046875j),(0.000244140625-0.010498046875j)
9,(-0.00347900390625+0.060821533203125j),(-0.003448486328125+0.060791015625j),(-0.003509521484375+0.060791015625j),(-0.00347900390625+0.06085205078125j),(-0.0035400390625+0.060791015625j),(-0.00341796875+0.060791015625j)
10,(0.049560546875+0.01318359375j),(0.049591064453125+0.01318359375j),(0.049530029296875+0.013153076171875j),(0.049560546875+0.01324462890625j),(0.049560546875+0.01318359375j),(0.049560546875+0.01318359375j)
11,(-0.02630615234375+0.076507568359375j),(-0.026214599609375+0.07647705078125j),(-0.026275634765625+0.0765380859375j),(-0.0262451171875+0.0765380859375j),(-0.0262451171875+0.0765380859375j),(-0.0263671875+0.076416015625j)
12,(0.00323486328125-0.038482666015625j),(0.0032958984375-0.03851318359375j),(0.00323486328125-0.038543701171875j),(0.0032958984375-0.03851318359375j),(0.0032958984375-0.0384521484375j),(0.003173828125-0.03857421875j)
13,(-0.036285400390625+0.08837890625j),(-0.0362548828125+0.08837890625j),(-0.0362548828125+0.08837890625j),(-0.0362548828125+0.08837890625j),(-0.0362548828125+0.08837890625j),(-0.036376953125+0.08837890625j)
14,(-0.016021728515625-0.0426025390625j),(-0.015960693359375-0.0426025390625j),(-0.016021728515625-0.042572021484375j),(-0.01605224609375-0.0426025390625j),(-0.0159912109375-0.0426025390625j),(-0.01611328125-0.04248046875j)
15,(0.026885986328125-0.0299072265625j),(0.02691650390625-0.029876708984375j),(0.02685546875-0.0299072265625j),(0.02685546875-0.02984619140625j),(0.0269775390625-0.02978515625j),(0.02685546875-0.02978515625j)
16,(-0.014129638671875+0.007568359375j),(-0.014129638671875+0.007568359375j),(-0.014129638671875+0.007568359375j),(-0.01416015625+0.00750732421875j),(-0.01416015625+0.007568359375j),(-0.01416015625+0.007568359375j)
