,0,1,2,3,4,5,6
0,(0.824676513671875+0j),(0.8079833984375+0j),(0.746246337890625+0j),(0.30774688720703125+0j),(0.13330459594726562+0j),(0.09071540832519531+0j),(0.03748178482055664+0j)
1,(-0.01129150390625+0j),(-0.2239227294921875+0j),(-0.1604766845703125+0j),(-0.124359130859375+0j),(-0.15416526794433594+0j),(-0.01575183868408203+0j),(-0.018613677471876144+0.08462930470705032j)
2,(0.131591796875+0j),(-0.4193878173828125+0j),(0.12416839599609375+0j),(0.3025856018066406+0j),(0.048126220703125+0j),(0.04258918762207031+0j),(-0.13500040769577026+0.03489835932850838j)
3,(-0.29339599609375+0j),(-0.0776519775390625+0j),(0.35536956787109375+0j),(0.11002349853515625+0j),(0.12266159057617188+0j),(-8.475378155128927e-18+0.1384134292602539j),(0.10651716589927673+0.07367893308401108j)
4,(-0.77276611328125+0j),(-0.697479248046875+0j),(-0.04498291015625+0j),(-0.0411376953125+0j),(0.17444229125976562+0j),(0.08722114562988283-0.1272296905517578j),(0.07774796336889267+0.025594931095838547j)
5,(-0.289215087890625+0j),(-0.258514404296875+0j),(-0.29340362548828125+0j),(-0.18397140502929688+0j),(0.021076121653751716-0.021076121653751716j),(0.0150063011186068-0.006069820535144916j),(0.06119709089398384-0.0946887955069542j)
6,(-0.654296875+0j),(-0.500335693359375+0j),(-0.4493408203125+0j),(-0.20633316040039062+0j),(1.5581143329071844e-17-0.2544593811035156j),(0.0872211456298828+0.1272296905517578j),(0.012720340862870216+0.03613240271806717j)
7,(-0.756195068359375+0j),(-0.0599365234375+0j),(0.0969696044921875+0j),(0.1352996826171875+0j),(0.008936480583461883+0.008936480583461883j),(-0.0150063011186068-0.006069820535144917j),(0.008692803792655468-0.015191122889518738j)
8,(-0.677825927734375+0j),(0.1051025390625+0j),(-0.1307525634765625+0j),(0.43849945068359375+0j),(0.21924972534179688+0.001922607421875j),(0.12104294969468175+0.07545939878921762j),(0.05111372470855713-0.06664975732564926j)
9,(-0.934051513671875+0j),(-0.0057373046875+0j),(-0.0882415771484375+0j),(-0.03336826863791223+0.013821589422732048j),(0.004254814549332554+0.057461889051025304j),(0.03445296992216777-0.02426953696995501j),(-0.0032460629008710384+0.03520810604095459j)
10,(0.1068115234375+0j),(0.049835205078125+0j),(0.4810028076171875+0j),(-0.1261600161089936+0.1261600161089936j),(0.022836174047566632+0.14899619015656024j),(0.09820677564711512-0.07353679136734262j),(0.1001320481300354-0.020915508270263672j)
11,(-0.761810302734375+0j),(0.0472412109375+0j),(-0.13532257080078125+0j),(0.09388987593075988-0.2266702118415677j),(0.064651125295003-0.10600096299093532j),(0.08173142602098031+0.030198155372835225j),(0.02392572909593582-0.024884406477212906j)
12,(0.243408203125+0j),(0.309326171875+0j),(-0.03729248046875+0j),(-2.3545150252161638e-19+0.00384521484375j),(0.21924972534179688-0.001922607421875j),(0.09820677564711511+0.07353679136734262j),(0.008237674832344055+0.05186747387051582j)
13,(-0.264251708984375+0j),(-0.082672119140625+0j),(-0.0745391845703125+0j),(0.04187789773657734+0.10110218867931856j),(-0.057461889051025304-0.004254814549332554j),(-0.08173142602098031+0.030198155372835208j),(0.09547574818134308-0.005365676246583462j)
14,(0.81353759765625+0j),(0.554351806640625+0j),(0.03667449951171875+0j),(0.17183236420412687+0.1718323642041269j),(-0.022836174047566656+0.14899619015656024j),(0.12104294969468177-0.07545939878921762j),(0.03117898479104042-0.006313248071819544j)
15,(0.311309814453125+0j),(0.3123321533203125+0j),(0.1736297607421875+0j),(0.0354123746592461+0.01466828585969705j),(-0.10600096299093532+0.06465112529500297j),(-0.03445296992216776-0.024269536969955013j),(0.019852159544825554+0.050910402089357376j)
16,(0.54156494140625+0j),(0.68450927734375+0j),(0.061737060546875+0j),(0.030868530273437507-0.11792755126953125j),(-0.1611859810582457-0.004891729218805194j),(-0.18496375600392156+0.05447456929165052j),(0.021294593811035156+0.06920671463012695j)
