,0,1,2,3,4,5,6
0,(-0.246063232421875+0j),(-0.0599517822265625+0j),(0.0086822509765625+0j),(-0.012165069580078125+0j),(-0.15472412109375+0j),(-0.11582565307617188+0j),(-0.07630538940429688+0j)
1,(0.85357666015625+0j),(0.44171142578125+0j),(0.057220458984375+0j),(-0.14284515380859375+0j),(-0.10267257690429688+0j),(-0.036785125732421875+0j),(0.06457942724227905-0.04844124615192413j)
2,(0.6868896484375+0j),(-0.02947998046875+0j),(0.101806640625+0j),(-0.07244110107421875+0j),(-0.07692718505859375+0j),(-0.038898468017578125+0j),(-0.01921648532152176-0.03177441284060478j)
3,(-0.5718994140625+0j),(0.0892181396484375+0j),(0.04229736328125+0j),(-0.072052001953125+0j),(0.029102325439453125+0j),(-4.034442809080712e-18+0.065887451171875j),(0.059483569115400314+0.007981879636645317j)
4,(0.743408203125+0j),(-0.0877685546875+0j),(-0.05013275146484375+0j),(-0.2972831726074219+0j),(0.14255905151367188+0j),(0.07127952575683594-0.0022430419921875j),(0.0612897165119648-0.04604750871658325j)
5,(0.272918701171875+0j),(-0.19146728515625+0j),(-0.13242340087890625+0j),(-0.0625+0j),(-0.028406301546766405+0.028406301546766405j),(0.02156030464944486+0.04996660619621127j),(0.0771045908331871-0.05079634487628937j)
6,(-0.91522216796875+0j),(-0.1404266357421875+0j),(-0.2792205810546875+0j),(-0.08141326904296875+0j),(2.7469341960855243e-19-0.004486083984375j),(0.07127952575683594+0.0022430419921875j),(0.04144594073295593-0.02453451231122017j)
7,(0.90594482421875+0j),(0.1737823486328125+0j),(0.183258056640625+0j),(0.13025665283203125+0j),(0.07152691084565613+0.07152691084565614j),(-0.021560304649444872+0.049966606196211266j),(-0.012016312219202518+0.08966033905744553j)
8,(-0.4886474609375+0j),(-0.3201141357421875+0j),(-0.03301239013671875+0j),(0.020847320556640625+0j),(0.01042366027832032-0.12357521057128906j),(0.07098249300259242-0.057622822303192024j),(0.046419914811849594+0.023861782625317574j)
9,(-0.38818359375+0j),(-0.1345062255859375+0j),(-0.3429107666015625+0j),(0.18483652481875207-0.0765617954018383j),(0.10579752593486602-0.005980498243117548j),(0.051596936818316605-0.03447219842789316j),(-0.011464482173323631-0.006006741430610418j)
10,(-0.151824951171875+0j),(-0.140350341796875+0j),(-0.2466888427734375+0j),(0.12321175976195953-0.12321175976195953j),(0.13154132572686453+0.008329565964905014j),(-0.06055883272427211-0.06595238826809705j),(0.0009918762370944023+0.020850103348493576j)
11,(0.177032470703125+0j),(0.0826568603515625+0j),(-0.1864013671875+0j),(0.0437596075766599-0.10564503809569675j),(-0.002603652298232815-0.06296389861266878j),(0.02849170018477562-0.054200589116549416j),(0.007325332146137953+0.046955619007349014j)
