,0,1,2,3,4,5
0,(0.04119873046875+0j),(0.0411376953125+0j),(0.041259765625+0j),(0.04150390625+0j),(0.041015625+0j),(0.041015625+0j)
1,(-0.09564208984375+0.07318115234375j),(-0.0953369140625+0.0732421875j),(-0.095703125+0.0732421875j),(-0.09521484375+0.07373046875j),(-0.095703125+0.0732421875j),(-0.095703125+0.07421875j)
2,(0.055267333984375-0.0462646484375j),(0.05517578125-0.0462646484375j),(0.0556640625-0.046142578125j),(0.05517578125-0.04638671875j),(0.0556640625-0.0458984375j),(0.0546875-0.046875j)
3,(0.019439697265625-0.0782470703125j),(0.0194091796875-0.078369140625j),(0.01953125-0.078369140625j),(0.01953125-0.078125j),(0.01953125-0.078125j),(0.01953125-0.078125j)
4,(0.01953125+0.00262451171875j),(0.019622802734375+0.0028076171875j),(0.01953125+0.002685546875j),(0.02001953125+0.00244140625j),(0.01953125+0.0029296875j),(0.01953125+0.001953125j)
5,(0.004425048828125+0.033905029296875j),(0.00457763671875+0.033905029296875j),(0.004638671875+0.033935546875j),(0.00439453125+0.03369140625j),(0.00390625+0.0341796875j),(0.00390625+0.033203125j)
6,(0.004241943359375+0.005462646484375j),(0.004241943359375+0.005157470703125j),(0.004150390625+0.005615234375j),(0.00390625+0.00537109375j),(0.00390625+0.0048828125j),(0.00390625+0.005859375j)
7,(0.00390625+0.10174560546875j),(0.003936767578125+0.102020263671875j),(0.004150390625+0.1015625j),(0.00341796875+0.1015625j),(0.00390625+0.1015625j),(0.00390625+0.1015625j)
8,(-0.01019287109375+0.006103515625j),(-0.01019287109375+0.006072998046875j),(-0.01025390625+0.006195068359375j),(-0.009765625+0.00634765625j),(-0.0107421875+0.005859375j),(-0.009765625+0.005859375j)
9,(0.07635498046875-0.0023193359375j),(0.076202392578125-0.002410888671875j),(0.0765380859375-0.002288818359375j),(0.07568359375-0.00244140625j),(0.076171875-0.001953125j),(0.076171875-0.001953125j)
10,(0.053192138671875+0.05267333984375j),(0.053192138671875+0.0526123046875j),(0.05316162109375+0.052581787109375j),(0.052734375+0.05224609375j),(0.052734375+0.052734375j),(0.052734375+0.052734375j)
11,(-0.145782470703125+0.060394287109375j),(-0.145965576171875+0.060638427734375j),(-0.145904541015625+0.0609130859375j),(-0.14599609375+0.06005859375j),(-0.146484375+0.060546875j),(-0.146484375+0.060546875j)
12,(-0.036163330078125+0.0374755859375j),(-0.036163330078125+0.037200927734375j),(-0.036407470703125+0.037628173828125j),(-0.0361328125+0.037109375j),(-0.0361328125+0.037109375j),(-0.037109375+0.037109375j)
13,(-0.001251220703125-0.0321044921875j),(-0.001190185546875-0.032501220703125j),(-0.00146484375-0.031982421875j),(-0.0009765625-0.0322265625j),(-0.0009765625-0.0322265625j),(-0.001953125-0.03125j)
14,(-0.05474853515625-0.06463623046875j),(-0.055023193359375-0.0645751953125j),(-0.0545654296875-0.0645751953125j),(-0.0546875-0.064453125j),(-0.0546875-0.064453125j),(-0.0546875-0.064453125j)
15,(0.015533447265625-0.040008544921875j),(0.015594482421875-0.0399169921875j),(0.015411376953125-0.039764404296875j),(0.015625-0.0400390625j),(0.015625-0.0400390625j),(0.015625-0.041015625j)
16,(0.0198974609375+0.04705810546875j),(0.0198974609375+0.047119140625j),(0.019775390625+0.04736328125j),(0.02001953125+0.046875j),(0.01953125+0.046875j),(0.01953125+0.046875j)
17,(0.0830078125-0.0794677734375j),(0.0831298828125-0.07958984375j),(0.0830078125-0.07958984375j),(0.0830078125-0.0791015625j),(0.083984375-0.0791015625j),(0.083984375-0.080078125j)
18,(0.0357666015625-0.014007568359375j),(0.0357666015625-0.013916015625j),(0.03564453125-0.013916015625j),(0.0361328125-0.013671875j),(0.03515625-0.013671875j),(0.03515625-0.013671875j)
19,(-0.061492919921875+0.031768798828125j),(-0.0616455078125+0.03173828125j),(-0.061767578125+0.03173828125j),(-0.0615234375+0.0322265625j),(-0.0615234375+0.0322265625j),(-0.060546875+0.03125j)
20,(0.056549072265625-0.125j),(0.056671142578125-0.1251220703125j),(0.056396484375-0.125j),(0.056640625-0.125j),(0.0556640625-0.125j),(0.056640625-0.125j)
21,(-0.041168212890625-0.08758544921875j),(-0.04095458984375-0.087493896484375j),(-0.040771484375-0.087646484375j),(-0.04052734375-0.08740234375j),(-0.041015625-0.087890625j),(-0.041015625-0.087890625j)
22,(0.083648681640625+0.007904052734375j),(0.083648681640625+0.00799560546875j),(0.08349609375+0.00830078125j),(0.083984375+0.00830078125j),(0.083984375+0.0078125j),(0.083984375+0.0078125j)
23,(0.009307861328125-0.046661376953125j),(0.009124755859375-0.0467529296875j),(0.00927734375-0.046630859375j),(0.00927734375-0.046875j),(0.009765625-0.046875j),(0.009765625-0.046875j)
24,(-0.01837158203125-0.005340576171875j),(-0.01812744140625-0.005401611328125j),(-0.018524169921875-0.005523681640625j),(-0.0185546875-0.00537109375j),(-0.0185546875-0.005859375j),(-0.017578125-0.005859375j)
25,(0.048126220703125-0.011810302734375j),(0.0478515625-0.011871337890625j),(0.0478515625-0.011993408203125j),(0.0478515625-0.01171875j),(0.048828125-0.01171875j),(0.048828125-0.01171875j)
26,(0.0645751953125+0.01043701171875j),(0.0645751953125+0.01055908203125j),(0.064208984375+0.0101318359375j),(0.064453125+0.01025390625j),(0.064453125+0.0107421875j),(0.064453125+0.009765625j)
27,(-0.017578125+0.01715087890625j),(-0.017364501953125+0.017120361328125j),(-0.0172119140625+0.017059326171875j),(-0.01708984375+0.01708984375j),(-0.017578125+0.0166015625j),(-0.017578125+0.017578125j)
28,(-0.0133056640625+0.147491455078125j),(-0.013275146484375+0.147552490234375j),(-0.013214111328125+0.1475830078125j),(-0.01318359375+0.14697265625j),(-0.013671875+0.1474609375j),(-0.013671875+0.1484375j)
29,(0.07061767578125-0.03106689453125j),(0.0701904296875-0.030975341796875j),(0.070709228515625-0.03118896484375j),(0.0703125-0.03125j),(0.0703125-0.03125j),(0.0703125-0.03125j)
30,(0.035797119140625+0.0667724609375j),(0.035614013671875+0.066680908203125j),(0.036163330078125+0.067169189453125j),(0.03564453125+0.06689453125j),(0.0361328125+0.0673828125j),(0.03515625+0.06640625j)
31,(0.088470458984375-0.0355224609375j),(0.08837890625-0.03546142578125j),(0.088348388671875-0.035614013671875j),(0.08837890625-0.03564453125j),(0.087890625-0.0361328125j),(0.087890625-0.03515625j)
32,(0.07427978515625+0j),(0.0743408203125+0j),(0.074462890625+0j),(0.07470703125+0j),(0.07421875+0j),(0.07421875+0j)
33,(0.08819580078125+0.03546142578125j),(0.0882568359375+0.03564453125j),(0.08837890625+0.03564453125j),(0.08837890625+0.03564453125j),(0.087890625+0.0361328125j),(0.087890625+0.03515625j)
34,(0.035797119140625-0.0667724609375j),(0.03564453125-0.0670166015625j),(0.03564453125-0.067138671875j),(0.03564453125-0.06689453125j),(0.0361328125-0.0673828125j),(0.03515625-0.06640625j)
35,(0.070587158203125+0.030975341796875j),(0.0701904296875+0.031494140625j),(0.07080078125+0.031005859375j),(0.0703125+0.03125j),(0.0703125+0.03125j),(0.0703125+0.03125j)
36,(-0.0133056640625-0.147491455078125j),(-0.013275146484375-0.147552490234375j),(-0.01318359375-0.147705078125j),(-0.01318359375-0.14697265625j),(-0.013671875-0.1474609375j),(-0.013671875-0.1484375j)
37,(-0.017303466796875-0.01702880859375j),(-0.017242431640625-0.017242431640625j),(-0.017333984375-0.017333984375j),(-0.01708984375-0.01708984375j),(-0.017578125-0.0166015625j),(-0.017578125-0.017578125j)
38,(0.064605712890625-0.01043701171875j),(0.06451416015625-0.01019287109375j),(0.064208984375-0.010009765625j),(0.064453125-0.01025390625j),(0.064453125-0.0107421875j),(0.064453125-0.009765625j)
39,(0.0479736328125+0.011810302734375j),(0.04815673828125+0.011871337890625j),(0.048095703125+0.01220703125j),(0.04833984375+0.01171875j),(0.048828125+0.01171875j),(0.048828125+0.01171875j)
40,(-0.01837158203125+0.005340576171875j),(-0.01812744140625+0.005401611328125j),(-0.018524169921875+0.005523681640625j),(-0.0185546875+0.00537109375j),(-0.0185546875+0.005859375j),(-0.017578125+0.005859375j)
41,(0.009307861328125+0.046630859375j),(0.009246826171875+0.046600341796875j),(0.0089111328125+0.046722412109375j),(0.00927734375+0.04736328125j),(0.009765625+0.046875j),(0.009765625+0.046875j)
42,(0.083648681640625-0.007904052734375j),(0.083740234375-0.0079345703125j),(0.083526611328125-0.008148193359375j),(0.083984375-0.00830078125j),(0.083984375-0.0078125j),(0.083984375-0.0078125j)
43,(-0.041107177734375+0.08746337890625j),(-0.041015625+0.087554931640625j),(-0.04058837890625+0.087493896484375j),(-0.04052734375+0.08740234375j),(-0.041015625+0.087890625j),(-0.041015625+0.087890625j)
44,(0.056549072265625+0.125j),(0.056671142578125+0.1251220703125j),(0.056427001953125+0.124969482421875j),(0.056640625+0.125j),(0.0556640625+0.125j),(0.056640625+0.125j)
45,(-0.06134033203125-0.031402587890625j),(-0.061492919921875-0.031768798828125j),(-0.0615234375-0.031982421875j),(-0.0615234375-0.0322265625j),(-0.0615234375-0.0322265625j),(-0.060546875-0.03125j)
46,(0.0357666015625+0.014007568359375j),(0.035858154296875+0.014190673828125j),(0.0355224609375+0.0137939453125j),(0.0361328125+0.013671875j),(0.03515625+0.013671875j),(0.03515625+0.013671875j)
47,(0.08319091796875+0.0794677734375j),(0.083282470703125+0.07928466796875j),(0.082733154296875+0.079315185546875j),(0.0830078125+0.0791015625j),(0.083984375+0.0791015625j),(0.083984375+0.080078125j)
48,(0.0198974609375-0.04705810546875j),(0.0198974609375-0.047119140625j),(0.019775390625-0.04736328125j),(0.02001953125-0.046875j),(0.01953125-0.046875j),(0.01953125-0.046875j)
49,(0.0157470703125+0.0401611328125j),(0.0157470703125+0.0400390625j),(0.01513671875+0.0400390625j),(0.015625+0.0400390625j),(0.015625+0.0400390625j),(0.015625+0.041015625j)
50,(-0.05474853515625+0.06463623046875j),(-0.0548095703125+0.064697265625j),(-0.0546875+0.064697265625j),(-0.0546875+0.064453125j),(-0.0546875+0.064453125j),(-0.0546875+0.064453125j)
51,(-0.0009765625+0.032073974609375j),(-0.0010986328125+0.0322265625j),(-0.001220703125+0.0322265625j),(-0.0009765625+0.0322265625j),(-0.0009765625+0.0322265625j),(-0.001953125+0.03125j)
52,(-0.036163330078125-0.037445068359375j),(-0.036163330078125-0.0372314453125j),(-0.036376953125-0.03759765625j),(-0.0361328125-0.037109375j),(-0.0361328125-0.037109375j),(-0.037109375-0.037109375j)
53,(-0.145904541015625-0.060394287109375j),(-0.146026611328125-0.060516357421875j),(-0.145751953125-0.060791015625j),(-0.14599609375-0.06005859375j),(-0.146484375-0.060546875j),(-0.146484375-0.060546875j)
54,(0.05322265625-0.05267333984375j),(0.053131103515625-0.052734375j),(0.05322265625-0.052734375j),(0.052734375-0.05224609375j),(0.052734375-0.052734375j),(0.052734375-0.052734375j)
55,(0.07623291015625+0.002288818359375j),(0.076416015625+0.002197265625j),(0.076171875+0.002197265625j),(0.07568359375+0.001953125j),(0.076171875+0.001953125j),(0.076171875+0.001953125j)
56,(-0.01019287109375-0.006103515625j),(-0.01019287109375-0.006072998046875j),(-0.01025390625-0.006195068359375j),(-0.009765625-0.00634765625j),(-0.0107421875-0.005859375j),(-0.009765625-0.005859375j)
57,(0.00384521484375-0.101837158203125j),(0.004364013671875-0.10162353515625j),(0.004364013671875-0.10174560546875j),(0.00390625-0.1015625j),(0.00390625-0.1015625j),(0.00390625-0.1015625j)
58,(0.004241943359375-0.005462646484375j),(0.003997802734375-0.00543212890625j),(0.004150390625-0.0057373046875j),(0.00390625-0.00537109375j),(0.00390625-0.0048828125j),(0.00390625-0.005859375j)
59,(0.00457763671875-0.034149169921875j),(0.004669189453125-0.033966064453125j),(0.0045166015625-0.033660888671875j),(0.00439453125-0.03369140625j),(0.00390625-0.0341796875j),(0.00390625-0.033203125j)
60,(0.01953125-0.00262451171875j),(0.019622802734375-0.0028076171875j),(0.019561767578125-0.0025634765625j),(0.02001953125-0.00244140625j),(0.01953125-0.0029296875j),(0.01953125-0.001953125j)
61,(0.019561767578125+0.078216552734375j),(0.019317626953125+0.07818603515625j),(0.019622802734375+0.07855224609375j),(0.01953125+0.078125j),(0.01953125+0.078125j),(0.01953125+0.078125j)
62,(0.055267333984375+0.0462646484375j),(0.0552978515625+0.04620361328125j),(0.055145263671875+0.046112060546875j),(0.05517578125+0.04638671875j),(0.0556640625+0.0458984375j),(0.0546875+0.046875j)
63,(-0.095703125-0.073150634765625j),(-0.095458984375-0.0732421875j),(-0.095672607421875-0.0732421875j),(-0.09521484375-0.07373046875j),(-0.095703125-0.0732421875j),(-0.095703125-0.07421875j)
