,0,1,2,3,4,5,6
0,(-0.600830078125+0j),(0.027923583984375+0j),(0.087188720703125+0j),(0.158782958984375+0j),(0.055084228515625+0j),(0.09393310546875+0j),(0.0587158203125+0j)
1,(0.2301025390625+0j),(0.287078857421875+0j),(0.05401611328125+0j),(0.062652587890625+0j),(-0.069366455078125+0j),(0.02349853515625+0j),(0.05706787109375-0.010833740234375j)
2,(-0.7857666015625+0j),(-0.66363525390625+0j),(-0.1617431640625+0j),(0.094024658203125+0j),(0.1328125+0j),(-0.038848876953125+0j),(0.021759033203125+0.022216796875j)
3,(0.81036376953125+0j),(0.848724365234375+0j),(0.213165283203125+0j),(0.23162841796875+0j),(0.116363525390625+0j),0.092864990234375j,(-0.0252685546875+0.019378662109375j)
4,(-0.6158447265625+0j),(-0.350372314453125+0j),(-0.140045166015625+0j),(-0.048583984375+0j),(0.103668212890625+0j),(0.05181884765625+0.019378662109375j),(-0.075653076171875+0.00299072265625j)
5,(-0.077545166015625+0j),(-0.204681396484375+0j),(-0.2969970703125+0j),(-0.201416015625+0j),(0.093353271484375-0.093353271484375j),(0.00592041015625-0.087432861328125j),(-0.03863525390625+0.100372314453125j)
6,(0.54248046875+0j),(0.65728759765625+0j),(0.659027099609375+0j),(0.171630859375+0j),0.038787841796875j,(0.05181884765625-0.019378662109375j),(-0.016204833984375-0.0196533203125j)
7,(0.8157958984375+0j),(0.067596435546875+0j),(0.033355712890625+0j),(0.0010986328125+0j),(-0.081512451171875-0.081512451171875j),(-0.00592041015625-0.087432861328125j),(-0.0460205078125-0.013214111328125j)
8,(0.1644287109375+0j),(-0.155853271484375+0j),(0.23040771484375+0j),(-0.07159423828125+0j),(-0.035797119140625+0.04571533203125j),(-0.149261474609375-0.01806640625j),(0.02886962890625-0.034027099609375j)
9,(0.362457275390625+0j),(0.097137451171875+0j),(0.071319580078125+0j),(-0.007965087890625+0.0032958984375j),(0.0142822265625+0.0457763671875j),(-0.002044677734375+0.0240478515625j),(0.09576416015625+0.054718017578125j)
10,(0.07275390625+0j),(0.400360107421875+0j),(0.34979248046875+0j),(-0.18084716796875+0.18084716796875j),(-0.262725830078125-0.081878662109375j),(0.11346435546875+0.06378173828125j),(-0.019561767578125+0.012908935546875j)
11,(0.692596435546875+0j),(0.208587646484375+0j),(0.250091552734375+0j),(-0.007049560546875+0.017059326171875j),(-0.018402099609375+0.002349853515625j),(0.021697998046875-0.016326904296875j),(-0.06732177734375-0.0169677734375j)
12,(-0.55084228515625+0j),(-0.2191162109375+0j),(0.0428466796875+0j),0.0914306640625j,(-0.035797119140625-0.04571533203125j),(0.11346435546875-0.06378173828125j),(0.045867919921875-0.040069580078125j)
13,(0.368133544921875+0j),(-0.148651123046875+0j),(-0.105865478515625+0j),(0.03656005859375+0.088287353515625j),(-0.045745849609375-0.014312744140625j),(-0.021697998046875-0.016357421875j),(-0.046661376953125+0.03387451171875j)
14,(0.20257568359375+0j),(-0.150787353515625+0j),(-0.31573486328125+0j),(-0.3446044921875-0.3446044921875j),(0.262725830078125-0.081878662109375j),(-0.149261474609375+0.01806640625j),(0.0257568359375-0.015625j)
15,(-0.068115234375+0j),(-0.17254638671875+0j),(-0.0311279296875+0j),(-0.02978515625-0.0123291015625j),(0.002349853515625-0.018402099609375j),(0.002044677734375+0.0240478515625j),(-0.05987548828125-0.03448486328125j)
16,(-0.13861083984375+0j),(0.146484375+0j),(-0.05926513671875+0j),(-0.029632568359375+0.193115234375j),(-0.00567626953125+0.180023193359375j),(-0.08233642578125+0.1004638671875j),(-0.0194091796875+0.046417236328125j)
17,(-0.989227294921875+0j),(-0.17901611328125+0j),(0.228546142578125-0.04547119140625j),(0.11175537109375-0.035369873046875j),(0.07757568359375-0.030914306640625j),(0.125885009765625-0.055999755859375j),(0.07177734375-0.00384521484375j)
18,(0.12481689453125+0j),(0.340118408203125+0j),(-0.463623046875+0.1920166015625j),(-0.241485595703125+0.0726318359375j),(-0.15899658203125+0.02093505859375j),(0.07666015625+0.07952880859375j),(0.050872802734375+0.06390380859375j)
19,(-0.138275146484375+0j),(-0.42236328125+0j),(0.52838134765625-0.353057861328125j),(0.275726318359375-0.159271240234375j),(0.1741943359375-0.08111572265625j),(0.02508544921875+0.048309326171875j),(0.027496337890625+0.022308349609375j)
20,(0.23870849609375+0j),(0.070281982421875+0j),(-0.148712158203125+0.148712158203125j),(0.01824951171875+0.166961669921875j),(-0.02392578125+0.0130615234375j),(0.01385498046875+0.047760009765625j),(0.06756591796875+0.023712158203125j)
21,(-0.095001220703125+0j),(-0.389312744140625+0j),(0.051300048828125-0.076751708984375j),(0.043426513671875-0.0264892578125j),(0.02099609375-0.02728271484375j),(-0.053009033203125-0.02191162109375j),(-0.026397705078125+0.05975341796875j)
22,(0.84661865234375+0j),(0.660797119140625+0j),(-0.00067138671875+0.001617431640625j),(-0.076507568359375-0.030731201171875j),(0.051666259765625+0.082489013671875j),(-0.03778076171875-0.034698486328125j),(0.033447265625-0.034820556640625j)
23,(0.3680419921875+0j),(-0.000885009765625+0j),(0.006683349609375-0.0335693359375j),(0.07269287109375-0.00299072265625j),(-0.12701416015625-0.01654052734375j),(-0.00537109375-0.074005126953125j),(-0.0360107421875+0.0980224609375j)
24,(0.292388916015625+0j),(0.61669921875+0j),0.386260986328125j,(-0.029632568359375-0.193115234375j),(-0.02392578125-0.0130615234375j),(-0.037811279296875+0.034698486328125j),(0.02294921875-0.05340576171875j)
