,0,1,2,3,4,5
0,(0.01263427734375+0j),(0.012664794921875+0j),(0.01263427734375+0j),(0.0126953125+0j),(0.0126953125+0j),(0.0126953125+0j)
1,(0.01483154296875+0.050750732421875j),(0.01483154296875+0.05078125j),(0.01483154296875+0.0506591796875j),(0.0147705078125+0.05078125j),(0.0146484375+0.05078125j),(0.0146484375+0.05078125j)
2,(0.02783203125-0.0582275390625j),(0.027862548828125-0.0582275390625j),(0.02777099609375-0.0582275390625j),(0.02783203125-0.0582275390625j),(0.02783203125-0.058349609375j),(0.02783203125-0.05810546875j)
3,(-0.041656494140625+0.050872802734375j),(-0.041656494140625+0.050933837890625j),(-0.0416259765625+0.05096435546875j),(-0.0416259765625+0.0509033203125j),(-0.041748046875+0.05078125j),(-0.04150390625+0.05078125j)
4,(0.128631591796875-0.060943603515625j),(0.128662109375-0.06097412109375j),(0.12860107421875-0.06103515625j),(0.128662109375-0.0609130859375j),(0.128662109375-0.06103515625j),(0.12841796875-0.06103515625j)
5,(0.007080078125-0.039154052734375j),(0.007080078125-0.039215087890625j),(0.007080078125-0.03924560546875j),(0.0072021484375-0.039306640625j),(0.007080078125-0.039306640625j),(0.0068359375-0.0390625j)
6,(-0.06829833984375+0.01861572265625j),(-0.06829833984375+0.01861572265625j),(-0.06829833984375+0.01861572265625j),(-0.068359375+0.0186767578125j),(-0.068359375+0.018798828125j),(-0.068359375+0.0185546875j)
7,(0.128692626953125-0.014801025390625j),(0.128692626953125-0.014739990234375j),(0.12872314453125-0.0147705078125j),(0.128662109375-0.0147705078125j),(0.128662109375-0.014892578125j),(0.12890625-0.0146484375j)
8,(0.033233642578125+0.08056640625j),(0.033233642578125+0.080535888671875j),(0.033294677734375+0.08056640625j),(0.0333251953125+0.08056640625j),(0.033203125+0.08056640625j),(0.033203125+0.08056640625j)
9,(-0.022857666015625-0.071197509765625j),(-0.0228271484375-0.071258544921875j),(-0.022918701171875-0.0711669921875j),(-0.0228271484375-0.0711669921875j),(-0.02294921875-0.071044921875j),(-0.02294921875-0.0712890625j)
