,0,1,2,3,4,5,6
0,(0.278961181640625+0j),(0.411102294921875+0j),(0.4398193359375+0j),(0.4398193359375+0j),(0.272064208984375+0j),(0.109466552734375+0j),(-0.02899169921875+0j)
1,(-0.1419677734375+0j),(-0.27777099609375+0j),(-0.160980224609375+0j),(-0.17742919921875+0j),(-0.182952880859375+0j),(-0.16748046875+0j),(0.045684814453125+0.03497314453125j)
2,(0.4486083984375+0j),(-0.092864990234375+0j),(-0.008941650390625+0j),(-0.235931396484375+0j),(-0.053131103515625+0j),(0.16259765625+0j),(-0.030242919921875+0.080047607421875j)
3,(-0.867523193359375+0j),(-0.480224609375+0j),(-0.07867431640625+0j),(0.04705810546875+0j),(-0.152008056640625+0j),0.015472412109375j,(-0.04962158203125-0.01580810546875j)
4,(0.395721435546875+0j),(0.116607666015625+0j),(-0.014556884765625+0j),(0.104339599609375+0j),(0.167724609375+0j),(0.0838623046875+0.091400146484375j),(0.00390625+0.032806396484375j)
5,(-0.2501220703125+0j),(-0.3375244140625+0j),(-0.466461181640625+0j),(-0.1884765625+0j),(0.00390625-0.00390625j),(-0.06842041015625-0.07232666015625j),(0.045928955078125-0.000732421875j)
6,(0.216064453125+0j),(-0.128082275390625+0j),(0.078369140625+0j),(0.129669189453125+0j),0.18280029296875j,(0.0838623046875-0.091400146484375j),(-0.008026123046875-0.042816162109375j)
7,(-0.659820556640625+0j),(-0.396392822265625+0j),(-0.0924072265625+0j),(-0.35107421875+0j),(-0.140777587890625-0.140777587890625j),(0.06842041015625-0.07232666015625j),(-0.098297119140625-0.04974365234375j)
8,(-0.31085205078125+0j),(0.034027099609375+0j),(0.4398193359375+0j),0j,0.0594482421875j,(0.0491943359375-0.001312255859375j),(0.007720947265625+0.009521484375j)
9,(-0.466064453125+0j),(-0.569091796875+0j),(-0.193878173828125+0j),(0.01519775390625-0.00628662109375j),(0.060791015625+0.125274658203125j),(-0.041351318359375+0.066925048828125j),(0.0113525390625-0.06549072265625j)
