,0,1,2,3,4,5,6
0,(-0.287200927734375+0j),(0.0475311279296875+0j),(-0.20832061767578125+0j),(-0.049358367919921875+0j),(0.0743560791015625+0j),(-0.014454841613769531+0j),(0.0078125+0j)
1,(0.662322998046875+0j),(0.241455078125+0j),(-0.00150299072265625+0j),(-0.2958030700683594+0j),(0.035858154296875+0j),(0.03007984161376953+0j),(-0.02956804819405079+0.018152231350541115j)
2,(-0.295257568359375+0j),(-0.5446624755859375+0j),(-0.28809356689453125+0j),(-0.2673988342285156+0j),(-0.10326576232910156+0j),(0.08881092071533203+0j),(0.00397958979010582+0.004299303982406855j)
3,(-0.882537841796875+0j),(-0.060211181640625+0j),(-0.500701904296875+0j),(-0.27404022216796875+0j),(0.024301528930664062+0j),(3.5381960659188335e-19-0.005778312683105469j),(0.04539637640118599+0.013490843586623669j)
4,(-0.0533447265625+0j),(0.2451934814453125+0j),(0.0257568359375+0j),(0.19807052612304688+0j),(-0.12371444702148438+0j),(-0.061857223510742194+0.08206653594970703j),(0.0032162463758140802+0.037894900888204575j)
5,(0.45635986328125+0j),(0.5547943115234375+0j),(0.4775543212890625+0j),(0.3675193786621094+0j),(-0.23451990080529025+0.23451990080529025j),(-0.011780212746188942+0.22273968805910133j),(0.01659550331532955+0.09024449437856674j)
6,(0.35699462890625+0j),(-0.1635589599609375+0j),(-0.1751861572265625+0j),(0.0608673095703125+0j),(-1.005025205679199e-17+0.16413307189941406j),(-0.06185722351074218-0.08206653594970703j),(-0.02227526158094406-0.11372290551662445j)
7,(-0.870697021484375+0j),(0.063720703125+0j),(0.4423980712890625+0j),(0.3226432800292969+0j),(0.21095947531291237+0.2109594753129124j),(0.011780212746188914+0.22273968805910133j),(0.032909002155065536-0.023725135251879692j)
8,(-0.0059814453125+0j),(-0.0092010498046875+0j),(0.1096038818359375+0j),(-0.15896224975585938+0j),(-0.07948112487792969+0.08615684509277344j),(-0.001670157116044485+0.08846552077079828j),(-0.036818716675043106+0.1524031162261963j)
9,(-0.608154296875+0j),(-0.62591552734375+0j),(-0.5901031494140625+0j),(0.2718978197239428-0.11262376450933194j),(0.11489463509968231-0.10714139793171382j),(0.008102649782892712-0.012675720375350953j),(-0.022061610594391823+0.06568533927202225j)
10,(-0.930938720703125+0j),(-0.670013427734375+0j),(-0.2467041015625+0j),(-0.014633385802982408+0.014633385802982408j),(0.07614081064584072+0.09077419644882313j),(-0.0778109677618852-0.0023086756780248477j),(0.009001764468848705-0.0029129665344953537j)
11,(0.959228515625+0j),(0.0570068359375+0j),(-0.0473785400390625+0j),(-0.08673967050273479+0.2094080889234758j),(-0.09868933553389689+0.08178995718101191j),(-0.09446567755636287-0.1067919853167896j),(-0.04405488818883896+0.02005479298532009j)
12,(0.409759521484375+0j),(0.51287841796875+0j),(0.37038421630859375+0j),(-1.0551170456749933e-17+0.17231369018554688j),(-0.07948112487792969-0.08615684509277344j),(-0.0778109677618852+0.0023086756780248407j),(0.008327354677021503-0.05224165320396423j)
13,(-0.278045654296875+0j),(0.3078155517578125+0j),(0.25748443603515625+0j),(-0.04210854952457815-0.10165903135409571j),(0.10714139793171383-0.11489463509968233j),(0.09446567755636288-0.1067919853167896j),(0.029231877997517586-0.13033321499824524j)
14,(0.552001953125+0j),(0.686126708984375+0j),(0.2969207763671875+0j),(0.16691500709466384+0.16691500709466386j),(-0.07614081064584073+0.09077419644882312j),(-0.001670157116044478-0.08846552077079828j),(0.05160461366176605+0.009851017035543919j)
15,(0.582305908203125+0j),(0.5058441162109375+0j),(0.20288848876953125+0j),(-0.11063900056505899-0.045828174561451974j),(0.08178995718101194-0.09868933553389689j),(-0.00810264978289272-0.012675720375350946j),(-0.05427268519997597-0.057645466178655624j)
16,(-0.985076904296875+0j),(-0.46417236328125+0j),(0.25585174560546875+0j),(0.12792587280273438+0.0594024658203125j),(0.07756456735280291-0.03427970617810941j),(-0.014989610929315063+0.024058484563763922j),(0.044405460357666016-0.0028891563415527344j)
17,(-0.2333984375+0j),(-0.2444610595703125+0j),(0.2382896976809759-0.04739876788790592j),(0.12263817301172096-0.006137257379115451j),(0.06158494802992848-0.026114922295707943j),(0.02294879064365416-0.015459876612777528j),(-0.028993381187319756-0.05245368182659149j)
18,(-0.390777587890625+0j),(-0.031524658203125+0j),(-0.2370387634187474+0.09818467061619265j),(-0.03752264876357049+0.24463574649376618j),(-0.10754378921143304+0.08239667530563725j),(0.09255417828211798-0.05833819074187333j),(0.04094956815242767-0.04848717525601387j)
19,(-0.90765380859375+0j),(-0.941192626953125+0j),(0.36625465038986016-0.24472353342910577j),(0.15413062136736128-0.1657584007611968j),(-0.015687366742620154-0.004804830929847112j),(-0.010655045682930414-0.038636157386274315j),(-0.060094546526670456-0.04567410424351692j)
20,(0.490936279296875+0j),(-0.1936798095703125+0j),(0.15516514007940277-0.15516514007940277j),(0.02720326190287145-0.12796187817653132j),(0.05036130544993146+0.09368217199842191j),(0.10630018831903018+0.01183051577527968j),(-0.08613832294940948-0.054550331085920334j)
21,(0.73455810546875+0j),(0.4003143310546875+0j),(0.04291223937294352-0.06422270473442816j),(0.000531723048135993-0.04609258721230043j),(0.05729749173272854-0.029044807063138268j),(-0.08829665995561287-0.017656448669616395j),(-0.04224942997097969+0.09116983413696289j)
22,(-0.029022216796875+0j),(-0.1868133544921875+0j),(0.004449535758395362-0.010742129574182137j),(-0.1775649296592956-0.07984239588249167j),(0.1622390711881289-0.07002114044786255j),(-0.055938882869098726+0.08185165622314222j),(0.09729842096567154-0.014743481762707233j)
23,(0.6622314453125+0j),(0.821075439453125+0j),(-0.07387628969534693+0.3714011887171474j),(-0.18550535485260158+0.15614873890150258j),(-0.23389081164395426-0.006268090276094526j),(-0.011388358393521862-0.1455941516883414j),(0.04784621670842171-0.030823122709989548j)
24,(0.081451416015625+0j),(0.2284088134765625+0j),(-7.274703962830575e-18+0.118804931640625j),(0.12792587280273438-0.0594024658203125j),(0.050361305449931476-0.09368217199842191j),(-0.055938882869098705-0.08185165622314224j),(-0.025038504973053932+0.07033657282590866j)
25,(-0.1942138671875+0j),(-0.554290771484375+0j),(0.006986648342466016+0.035124253129675015j),(0.09105798007957665-0.08237858745825723j),(0.029044807063138264-0.05729749173272853j),(0.011388358393521925-0.14559415168834142j),(-0.09487766772508621-0.02258610539138317j)
26,(0.139190673828125+0j),(0.176605224609375+0j),(0.16199346589160643+0.3910868223713397j),(-0.24463574649376618+0.03752264876357049j),(-0.16223907118812889-0.07002114044786256j),(0.10630018831903018-0.011830515775279674j),(-0.03366361930966377-0.031871248036623j)
27,(0.62628173828125+0j),(-0.151763916015625+0j),(-0.05799340765513759-0.08679326809328786j),(0.008222081659522346-0.22619569677423695j),(-0.006268090276094415-0.23389081164395428j),(0.08829665995561288-0.017656448669616333j),(-0.09514120221138-0.03311638534069061j)
28,(-0.462890625+0j),(0.2278900146484375+0j),(-0.10075861627365987-0.1007586162736599j),(-0.02720326190287143-0.12796187817653132j),(0.0775645673528029+0.03427970617810941j),(0.09255417828211797+0.05833819074187335j),(-0.004886403679847717-0.05057062208652496j)
29,(0.02642822265625+0j),(0.2071533203125+0j),(-0.041848793276671535-0.027962469690172697j),(-0.03296836595330012-0.03221639600719983j),(0.026114922295707936-0.061584948029928484j),(0.010655045682930442-0.03863615738627433j),(0.04008549824357033+0.008490673266351223j)
30,(-0.749725341796875+0j),(-0.09228515625+0j),(-0.35957939507698655-0.1489426621908012j),(-0.07984239588249159-0.1775649296592956j),(0.10754378921143304+0.0823966753056373j),(-0.01498961092931507-0.024058484563763943j),(-0.018969200551509857-0.019759180024266243j)
31,(0.081634521484375+0j),(-0.100067138671875+0j),(-0.29713442000985624-0.05910371091414223j),(-0.020758262211711176-0.2415859265136716j),(-0.004804830929847052-0.015687366742620175j),(-0.022948790643654154-0.015459876612777496j),(0.09188295900821686-0.034644123166799545j)
32,(0.38226318359375+0j),(-0.3347320556640625+0j),(-0.16736602783203128+0.2604522705078125j),(-0.05713521980118562+0.15563562728415403j),(-0.02095115660223889+0.057988135900740846j),(0.06231491009404372+0.05279635255257817j),(-0.02226734161376953+0j)
33,(-0.179412841796875+0j),(0.41884132585254724-0.041252269967192695j),(0.20887849963633426-0.026130811244257226j),(0.037670348391137004-0.07360540229345404j),(-0.011351857442114453+0.008787415280797184j),(-0.12145100768325488-0.016491890711812826j),(0.09188295900821686+0.034644123166799545j)
34,(-0.7940673828125+0j),(0.2446126618681458-0.04865648366323267j),(0.15734971580305882+0.15184675085800203j),(0.05021154195583026+0.13535784114913035j),(0.14558097679032633+0.04760456920441549j),(-0.08326606669628261+0.005191783348162678j),(-0.018969200551509857+0.019759180024266243j)
