,0,1,2,3,4,5,6
0,(0.140655517578125+0j),(0.46697998046875+0j),(-0.05393218994140625+0j),(0.10747528076171875+0j),(-0.10676956176757812+0j),(-0.10168170928955078+0j),(-0.08608531951904297+0j)
1,(0.26446533203125+0j),(0.382049560546875+0j),(-0.079864501953125+0j),(-0.033748626708984375+0j),(0.14036941528320312+0j),(-0.07048892974853516+0j),(0.050524573773145676-0.14992143213748932j)
2,(0.634002685546875+0j),(-0.059814453125+0j),(-0.22202301025390625+0j),(-0.15009307861328125+0j),(-0.09659385681152344+0j),(-0.005087852478027344+0j),(0.03320643678307533-0.013457060791552067j)
3,(-0.445404052734375+0j),(-0.4010162353515625+0j),(-0.5159225463867188+0j),(-0.3700599670410156+0j),(-0.28134727478027344+0j),(1.2911349865831325e-17-0.21085834503173828j),(0.01586362160742283-0.052145086228847504j)
4,(0.3037109375+0j),(-0.1054534912109375+0j),(-0.2201385498046875+0j),(-0.321014404296875+0j),(0.21424484252929688+0j),(0.10712242126464844+0.026749610900878906j),(-0.019486282020807266+0.052109017968177795j)
5,(0.7816162109375+0j),(0.1635284423828125+0j),(0.0873870849609375+0j),(0.3144874572753906+0j),(-0.12312004821959983+0.12312004821959983j),(-0.030195350972356844+0.092924697247243j),(-0.04720483720302582+0.04419196397066116j)
6,(0.817626953125+0j),(-0.084808349609375+0j),(-0.22788238525390625+0j),(-0.043094635009765625+0j),(-3.27588253681985e-18+0.05349922180175781j),(0.10712242126464844-0.026749610900878906j),(0.01137097179889679-0.10548223555088043j)
7,(-0.626953125+0j),(-0.2888031005859375+0j),(-0.12469482421875+0j),(-0.19263458251953125+0j),(0.06272934627488615+0.06272934627488616j),(0.03019535097235683+0.09292469724724299j),(-0.06680989265441895-0.037111736834049225j)
8,(0.303436279296875+0j),(-0.0439300537109375+0j),(0.26888275146484375+0j),(-0.161407470703125+0j),(-0.0807037353515625-0.05043792724609375j),(-0.020401235464664456+0.020162739804755303j),(0.0384635366499424+0.05983715504407883j)
9,(0.234222412109375+0j),(0.011322021484375+0j),(0.01236724853515625+0j),(-0.04260551326190546+0.01764778142494801j),(0.022151018353389628+0.11373058361598207j),(-0.018571326987178817+0.0840552997370413j),(-0.06886842101812363-0.018930433318018913j)
10,(0.00677490234375+0j),(-0.3111724853515625+0j),(-0.07816314697265625+0j),(-0.05086214243337075+0.05086214243337075j),(0.03990126442223359+0.09076340685560436j),(-0.060302499886898044-0.07060066705084905j),(0.025966595858335495-0.036905646324157715j)
11,(0.932373046875+0j),(0.0762786865234375+0j),(-0.2241973876953125+0j),(-0.05581919251763893+0.13475945161679867j),(-0.059293672327747265+0.054380015858100546j),(0.029675283878940764-0.04072234534056845j),(0.029818233102560043+0.03473250940442085j)
12,(0.0565185546875+0j),(-0.438812255859375+0j),(-0.4218902587890625+0j),(6.176864615755579e-18-0.1008758544921875j),(-0.0807037353515625+0.05043792724609375j),(-0.06030249988689805+0.07060066705084905j),(-0.04498889297246933+0.014939161017537117j)
13,(-0.109466552734375+0j),(0.3180084228515625+0j),(0.5415878295898438+0j),(0.08690754996868472+0.2098133858070161j),(-0.11373058361598205-0.02215101835338963j),(-0.029675283878940747-0.04072234534056844j),(0.023525627329945564-0.07155206799507141j)
14,(0.887115478515625+0j),(0.69091796875+0j),(0.141693115234375+0j),(0.13066467127783793+0.13066467127783796j),(-0.03990126442223361+0.09076340685560434j),(-0.020401235464664446-0.020162739804755296j),(0.0383840911090374-0.10404810309410095j)
15,(0.271209716796875+0j),(0.19525146484375+0j),(-0.2605743408203125+0j),(-0.0627681521378556-0.025999419900597575j),(0.05438001585810056-0.059293672327747245j),(0.018571326987178803+0.0840552997370413j),(-0.02497084066271782-0.009886646643280983j)
16,(-0.39739990234375+0j),(-0.5748443603515625+0j),(0.5209121704101562+0j),(0.2604560852050781+0.15640640258789062j),(0.15349310298055258+0.06092097035575023j),(0.05004210667111649+0.006814935923105583j),(-0.002543926239013672-0.10542917251586914j)
17,(-0.3814697265625+0j),(-0.541778564453125+0j),(0.45303851331125783-0.09011496319690299j),(0.22662121349658734-0.04454490994540873j),(0.1703609453294966-0.007046245431650517j),(0.016370768441216862-0.03372905675220775j),(-0.02314639650285244+0.002910092705860734j)
18,(-0.007781982421875+0j),(-0.3842315673828125+0j),(0.14986116592958426-0.0620745274010786j),(0.11951498965677138+0.07659901560559476j),(-0.05340888963831959-0.04729109850953907j),(0.10345099630943608+0.054106034432644654j),(0.06506690382957458-0.04994207248091698j)
19,(-0.894775390625+0j),(-0.630828857421875+0j),(0.09554110588751705-0.06383852599722464j),(-0.035697228341504544-0.15683762546703978j),(-0.13761940844706289-0.06041186807276498j),(0.026682811320557245-0.15399017688827976j),(-0.05192355066537857+0.00950242206454277j)
20,(0.21514892578125+0j),(-0.3348236083984375+0j),(0.08109458263241717-0.08109458263241717j),(0.04653012075602701-0.03456446187639016j),(0.10696298222452555+0.0954854322321404j),(0.1154265481698297-0.03871922353147528j),(-0.015313607640564442-0.055661506950855255j)
21,(0.4716796875+0j),(0.0112457275390625+0j),(0.04230187168529992-0.06330922493575593j),(0.11410067716240586+0.030452419082107697j),(0.013266457169205728-0.0662975770954413j),(-0.06349335723564589-0.035092067433428825j),(-0.05205727741122246+0.11545584350824356j)
22,(-0.147705078125+0j),(-0.3709564208984375+0j),(0.054752063042774426-0.13218317316577272j),(-0.22633276893341056-0.1711812126246729j),(0.12389011411513384-0.17292387929509095j),(-0.008463565945304147+0.13420465576361568j),(0.08945995569229126+0.001813578070141375j)
23,(0.693145751953125+0j),(0.0394134521484375+0j),(-0.03201593648198639+0.16095498185328283j),(-0.2395415885526212+0.036013889321509805j),(-0.1402531716404975-0.0038865577714163463j),(-0.031205509662012475-0.0767598144048516j),(0.0008973208605311811-0.04376331716775894j)
24,(0.85595703125+0j),(0.581695556640625+0j),(-1.9154260029541255e-17+0.31281280517578125j),(0.2604560852050781-0.15640640258789062j),(0.10696298222452555-0.0954854322321404j),(-0.008463565945304133-0.1342046557636157j),(0.06865888833999634+0.03308754414319992j)
25,(0.1112060546875+0j),(0.0134124755859375+0j),(0.00020391368191688205+0.0010251433060855298j),(0.1917434047139039-0.12874738893441867j),(0.06629757709544133-0.013266457169205742j),(0.031205509662012534-0.07675981440485162j),(3.763530548894778e-05-0.021883612498641014j)
26,(0.362701416015625+0j),(0.15484619140625+0j),(0.08916881338395848+0.21527255861226813j),(-0.07659901560559478-0.11951498965677139j),(-0.12389011411513381-0.172923879295091j),(0.11542654816982968+0.038719223531475305j),(-0.01983453705906868+0.02872242033481598j)
27,(-0.765472412109375+0j),(-0.5246734619140625+0j),(-0.16693556257052614-0.2498367249368549j),(0.13614270074278229-0.0856591962830972j),(-0.003886557771416263-0.1402531716404975j),(0.06349335723564588-0.03509206743342879j),(-0.02679428458213806+0.03362509235739708j)
28,(-0.887939453125+0j),(-0.40496826171875+0j),(0.011965658879636859+0.01196565887963686j),(-0.04653012075602701-0.03456446187639016j),(0.15349310298055258-0.06092097035575023j),(0.10345099630943609-0.05410603443264463j),(-0.000914954231120646+0.03194627910852432j)
