,0,1,2,3,4,5,6
0,(-0.551605224609375+0j),(-0.669921875+0j),(-0.049713134765625+0j),(0.13671875+0j),(0.20501708984375+0j),(0.1383056640625+0j),(0.062164306640625+0j)
1,(0.865264892578125+0j),(0.271759033203125+0j),(0.38482666015625+0j),(0.236083984375+0j),(0.25372314453125+0j),(-0.01397705078125+0j),(0.025665283203125-0.062286376953125j)
2,(0.8914794921875+0j),(0.073486328125+0j),(0.24700927734375+0j),(0.28448486328125+0j),(0.071563720703125+0j),(0.066741943359375+0j),(-0.059967041015625-0.0467529296875j)
3,(-0.9544677734375+0j),(-0.57257080078125+0j),(-0.395538330078125+0j),(-0.2921142578125+0j),(-0.281707763671875+0j),-0.267730712890625j,(0.04217529296875-0.009063720703125j)
4,(0.693817138671875+0j),(0.625274658203125+0j),(0.55755615234375+0j),(0.2733154296875+0j),(-0.06829833984375+0j),(-0.034149169921875-0.1064453125j),(0.0538330078125+0.01531982421875j)
5,(0.428741455078125+0j),(0.166778564453125+0j),(0.133544921875+0j),(0.271331787109375+0j),(-0.012451171875+0.012451171875j),(-0.002532958984375+0.009918212890625j),(0.044219970703125-0.025604248046875j)
6,(0.359771728515625+0j),(0.216278076171875+0j),(-0.1658935546875+0j),(-0.141357421875+0j),-0.212921142578125j,(-0.034149169921875+0.106475830078125j),(-0.038299560546875+0.037506103515625j)
7,(-0.97882080078125+0j),(-0.763153076171875+0j),(-0.78619384765625+0j),(-0.27130126953125+0j),(0.007354736328125+0.007354736328125j),(0.0025634765625+0.0098876953125j),(-0.01708984375-0.001312255859375j)
8,(0.6566162109375+0j),(0.345794677734375+0j),(0.3231201171875+0j),(-0.1864013671875+0j),(-0.09320068359375-0.142120361328125j),(-0.04888916015625-0.060089111328125j),(-0.018341064453125-0.048248291015625j)
9,(-0.24346923828125+0j),(0.3681640625+0j),(0.08734130859375+0j),(0.137420654296875-0.056915283203125j),(0.095062255859375+0.035186767578125j),(0.15655517578125+0.090728759765625j),(-0.01861572265625-0.0618896484375j)
10,(0.61309814453125+0j),(0.20611572265625+0j),(0.321929931640625+0j),(-0.0264892578125+0.0264892578125j),(-0.00457763671875+0.02191162109375j),(-0.0443115234375-0.082000732421875j),(0.00384521484375+0.0621337890625j)
11,(0.07208251953125+0j),(-0.157745361328125+0j),(-0.188690185546875+0j),(-0.039581298828125+0.095550537109375j),(0.218048095703125+0.146270751953125j),(-0.0555419921875+0.061492919921875j),(0.02435302734375-0.020904541015625j)
