,0,1,2,3,4,5
0,(-0.025299072265625+0j),(-0.025299072265625+0j),(-0.025299072265625+0j),(-0.025299072265625+0j),(-0.02532958984375+0j),(-0.0252685546875+0j)
1,(-0.043243408203125-0.058258056640625j),(-0.043212890625-0.058258056640625j),(-0.043212890625-0.05828857421875j),(-0.043182373046875-0.058258056640625j),(-0.043212890625-0.05828857421875j),(-0.043212890625-0.0582275390625j)
2,(0.035003662109375+0.05029296875j),(0.0350341796875+0.05029296875j),(0.035064697265625+0.05029296875j),(0.0350341796875+0.05029296875j),(0.0350341796875+0.05029296875j),(0.0350341796875+0.05029296875j)
3,(-0.00335693359375-0.036468505859375j),(-0.00335693359375-0.0364990234375j),(-0.00335693359375-0.036468505859375j),(-0.00335693359375-0.0364990234375j),(-0.00335693359375-0.0364990234375j),(-0.0032958984375-0.0364990234375j)
4,(0.004974365234375-0.048614501953125j),(0.0050048828125-0.048614501953125j),(0.004974365234375-0.048583984375j),(0.0050048828125-0.048583984375j),(0.0050048828125-0.04864501953125j),(0.0050048828125-0.048583984375j)
5,(-0.104705810546875-0.0201416015625j),(-0.10467529296875-0.0201416015625j),(-0.10467529296875-0.0201416015625j),(-0.10467529296875-0.020111083984375j),(-0.10467529296875-0.02008056640625j),(-0.1046142578125-0.0201416015625j)
6,(0.02984619140625+0.091796875j),(0.029815673828125+0.091796875j),(0.02984619140625+0.091796875j),(0.029815673828125+0.091796875j),(0.02984619140625+0.091796875j),(0.0299072265625+0.091796875j)
7,(0.01971435546875+0.010650634765625j),(0.01971435546875+0.01068115234375j),(0.01971435546875+0.01068115234375j),(0.019683837890625+0.01068115234375j),(0.01971435546875+0.01068115234375j),(0.019775390625+0.0107421875j)
8,(0.013397216796875-0.1011962890625j),(0.013427734375-0.1011962890625j),(0.013397216796875-0.101226806640625j),(0.013397216796875-0.1011962890625j),(0.013427734375-0.1011962890625j),(0.013427734375-0.1011962890625j)
9,(0.05218505859375+0.007965087890625j),(0.05218505859375+0.007965087890625j),(0.05218505859375+0.007965087890625j),(0.05218505859375+0.0079345703125j),(0.05224609375+0.00799560546875j),(0.05224609375+0.0079345703125j)
10,(-0.090789794921875+0.062286376953125j),(-0.0908203125+0.06231689453125j),(-0.0908203125+0.06231689453125j),(-0.090789794921875+0.06231689453125j),(-0.0908203125+0.06231689453125j),(-0.0908203125+0.062255859375j)
11,(0.004364013671875-0.0869140625j),(0.004364013671875-0.0869140625j),(0.00433349609375-0.0869140625j),(0.004364013671875-0.0869140625j),(0.00433349609375-0.0869140625j),(0.00439453125-0.0869140625j)
12,(-0.069091796875+0.001739501953125j),(-0.069091796875+0.001739501953125j),(-0.069091796875+0.001739501953125j),(-0.069091796875+0.00177001953125j),(-0.069091796875+0.00177001953125j),(-0.069091796875+0.001708984375j)
13,(0.027557373046875+0.063201904296875j),(0.027557373046875+0.063201904296875j),(0.02752685546875+0.063201904296875j),(0.027557373046875+0.063201904296875j),(0.027587890625+0.06317138671875j),(0.027587890625+0.063232421875j)
14,(-0.054595947265625+0.007354736328125j),(-0.0545654296875+0.007354736328125j),(-0.054595947265625+0.007354736328125j),(-0.0545654296875+0.00738525390625j),(-0.05462646484375+0.00732421875j),(-0.0545654296875+0.00732421875j)
15,(-0.01739501953125-0.0244140625j),(-0.017425537109375-0.024444580078125j),(-0.0174560546875-0.0244140625j),(-0.01739501953125-0.0244140625j),(-0.01739501953125-0.0244140625j),(-0.017333984375-0.0244140625j)
16,(-0.0406494140625+0.0208740234375j),(-0.040679931640625+0.0208740234375j),(-0.0406494140625+0.0208740234375j),(-0.040679931640625+0.0208740234375j),(-0.0406494140625+0.0208740234375j),(-0.0406494140625+0.0208740234375j)
17,(0.01336669921875-0.107879638671875j),(0.01336669921875-0.107879638671875j),(0.01336669921875-0.107879638671875j),(0.01336669921875-0.10791015625j),(0.01336669921875-0.10784912109375j),(0.013427734375-0.10791015625j)
18,(0.061492919921875-0.095062255859375j),(0.061492919921875-0.095062255859375j),(0.06146240234375-0.0950927734375j),(0.06146240234375-0.0950927734375j),(0.06146240234375-0.0950927734375j),(0.0615234375-0.0950927734375j)
