,0,1,2,3,4,5,6
0,(0.6888427734375+0j),(0.10491943359375+0j),(0.12664794921875+0j),(-0.17193603515625+0j),(-0.0914306640625+0j),(0.127105712890625+0j),(0.1458740234375+0j)
1,(0.515899658203125+0j),(0.56298828125+0j),(0.756683349609375+0j),(0.310577392578125+0j),(0.278656005859375+0j),(0.164642333984375+0j),(0.00592041015625-0.065887451171875j)
2,(-0.158843994140625+0j),(-0.03070068359375+0j),(0.291351318359375+0j),(0.37481689453125+0j),(0.34564208984375+0j),(-0.218536376953125+0j),(0.009735107421875+0.047271728515625j)
3,(-0.482177734375+0j),(-0.72705078125+0j),(-0.188446044921875+0j),(-0.11749267578125+0j),(0.050628662109375+0j),-0.114013671875j,(0.029144287109375+0.041046142578125j)
4,(0.022552490234375+0j),(0.230987548828125+0j),(-0.189208984375+0j),(-0.010955810546875+0j),(-0.080474853515625+0j),(-0.04022216796875-0.01458740234375j),(0.067779541015625+0.032958984375j)
5,(-0.19012451171875+0j),(-0.19622802734375+0j),(-0.073150634765625+0j),(0.246734619140625+0j),(0.0225830078125-0.0225830078125j),(0.07073974609375+0.04815673828125j),(-0.01934814453125+0.012451171875j)
6,(0.567596435546875+0j),(0.608642578125+0j),(0.507720947265625+0j),(0.316436767578125+0j),-0.029205322265625j,(-0.04022216796875+0.014617919921875j),(-0.004638671875+0.095458984375j)
7,(-0.39337158203125+0j),(-0.028533935546875+0j),(0.294158935546875+0j),(0.218719482421875+0j),(0.118865966796875+0.118865966796875j),(-0.070709228515625+0.048126220703125j),(0.037689208984375-0.03900146484375j)
8,(-0.04681396484375+0j),(-0.522247314453125+0j),(-0.47052001953125+0j),(0.298583984375+0j),(0.1492919921875+0.089111328125j),(0.026092529296875+0.0255126953125j),(0.0152587890625+0.01678466796875j)
9,(0.166778564453125+0j),(0.07696533203125+0j),(-0.135528564453125+0j),(0.412139892578125-0.170684814453125j),(0.26727294921875+0.062408447265625j),(0.10943603515625+0.040374755859375j),(0.045745849609375-0.0186767578125j)
10,(0.81622314453125+0j),(0.775726318359375+0j),(0.458251953125+0j),(-0.058990478515625+0.058990478515625j),(-0.09710693359375-0.038116455078125j),(0.123199462890625+0.063629150390625j),(-0.0426025390625+0.0604248046875j)
11,(0.009368896484375+0j),(-0.25140380859375+0j),(-0.046539306640625+0j),(-0.02716064453125+0.0655517578125j),(-0.048431396484375+0.018341064453125j),(0.02203369140625-0.157867431640625j),(-0.001953125+0.0396728515625j)
12,(-0.436309814453125+0j),(-0.3929443359375+0j),(0.167266845703125+0j),0.17822265625j,(0.1492919921875-0.089111328125j),(0.12322998046875-0.063629150390625j),(0.050628662109375-0.1107177734375j)
