,0,1,2,3,4,5,6
0,(0.586669921875+0j),(0.744720458984375+0j),(0.263427734375+0j),(0.0303955078125+0j),(-0.130859375+0j),(0.03167724609375+0j),(0.02484130859375+0j)
1,(0.6439208984375+0j),(0.410552978515625+0j),(0.026947021484375+0j),(0.115081787109375+0j),(0.048675537109375+0j),(0.017974853515625+0j),(-0.053375244140625-0.029205322265625j)
2,(-0.029937744140625+0j),(-0.3140869140625+0j),(0.185577392578125+0j),(0.11602783203125+0j),(0.1942138671875+0j),(-0.16253662109375+0j),(-0.01177978515625-0.07208251953125j)
3,(-0.47674560546875+0j),(-0.08294677734375+0j),(-0.14605712890625+0j),(0.199249267578125+0j),(-0.01275634765625+0j),-0.030731201171875j,(0.0399169921875+0.05029296875j)
4,(-0.99908447265625+0j),(-0.63916015625+0j),(-0.359466552734375+0j),(-0.292144775390625+0j),(0.161285400390625+0j),(0.080657958984375+0.039093017578125j),(-0.029205322265625-0.01593017578125j)
5,(0.32562255859375+0j),(0.595550537109375+0j),(0.47198486328125+0j),(-0.017730712890625+0j),(0.046966552734375-0.046966552734375j),(-0.05145263671875-0.098419189453125j),(0.033966064453125+0.041015625j)
6,(-0.059478759765625+0j),(0.379791259765625+0j),(0.2681884765625+0j),(0.272369384765625+0j),0.078155517578125j,(0.080657958984375-0.0390625j),(0.036468505859375+0.049468994140625j)
7,(0.51947021484375+0j),(0.274383544921875+0j),(-0.096893310546875+0j),(-0.224761962890625+0j),(-0.14990234375-0.14990234375j),(0.051483154296875-0.09844970703125j),(-0.025970458984375-0.010406494140625j)
8,(-0.253692626953125+0j),(0.017730712890625+0j),(-0.202667236328125+0j),(0.233062744140625+0j),(0.116546630859375+0.033660888671875j),(0.071319580078125+0.005279541015625j),(0.014617919921875-0.0296630859375j)
9,(0.540283203125+0j),(0.468048095703125+0j),(0.203216552734375+0j),(-0.0814208984375+0.033721923828125j),(-0.1343994140625-0.2093505859375j),(-0.1297607421875-0.03717041015625j),(0.007354736328125-0.0029296875j)
10,(-0.45458984375+0j),(0.078216552734375+0j),(0.04644775390625+0j),(0.0491943359375-0.0491943359375j),(0.02606201171875-0.02313232421875j),(0.045257568359375+0.028411865234375j),(0.074188232421875-0.0286865234375j)
11,(0.60382080078125+0j),(0.778289794921875+0j),(0.544525146484375+0j),(-0.132110595703125+0.3189697265625j),(-0.1251220703125+0.135009765625j),(-0.17218017578125+0.004638671875j),(-0.025787353515625-0.0850830078125j)
12,(0.45965576171875+0j),(-0.241729736328125+0j),(-0.224853515625+0j),0.067291259765625j,(0.116546630859375-0.03363037109375j),(0.045257568359375-0.02838134765625j),(0.108734130859375-0.011871337890625j)
13,(-0.1719970703125+0j),(-0.224609375+0j),(-0.5074462890625+0j),(-0.1873779296875-0.452423095703125j),(0.2093505859375+0.1343994140625j),(0.17218017578125+0.004638671875j),(-0.035491943359375-0.090179443359375j)
14,(0.07659912109375+0j),(0.140045166015625+0j),(0.276519775390625+0j),(0.0029296875+0.0029296875j),(-0.02606201171875-0.02313232421875j),(0.071319580078125-0.0052490234375j),(0.033477783203125-0.023345947265625j)
15,(0.364105224609375+0j),(-0.01361083984375+0j),(-0.3526611328125+0j),(-0.1181640625-0.0489501953125j),(0.134979248046875-0.125152587890625j),(0.129791259765625-0.037200927734375j),(0.068572998046875+0.0191650390625j)
16,(-0.614044189453125+0j),(-0.217864990234375+0j),(0.481292724609375+0j),(0.24066162109375-0.110198974609375j),(0.073883056640625-0.002655029296875j),(-0.00115966796875+0.012542724609375j),(-0.081268310546875-0.015350341796875j)
17,(0.10723876953125+0j),(-0.356689453125+0j),(0.376251220703125-0.0748291015625j),(0.16229248046875-0.167266845703125j),(0.039520263671875-0.148590087890625j),(-0.02239990234375-0.15673828125j),(0.00567626953125+0.01470947265625j)
18,(0.610260009765625+0j),(0.685211181640625+0j),(-0.461578369140625+0.191162109375j),(-0.236846923828125+0.080902099609375j),(-0.07623291015625+0.027740478515625j),(0.0750732421875-0.01519775390625j),(0.0416259765625-0.03857421875j)
19,(-0.468963623046875+0j),(-0.209197998046875+0j),(0.052490234375-0.035064697265625j),(-0.038665771484375-0.114715576171875j),(-0.0843505859375-0.1649169921875j),(0.0081787109375-0.06195068359375j),(-0.074310302734375+0.02484130859375j)
