,0,1,2,3,4,5
0,(0.0108642578125+0j),(0.0107421875+0j),(0.01123046875+0j),(0.0107421875+0j),(0.01171875+0j),(0.01171875+0j)
1,(0.01318359375+0.0621337890625j),(0.013671875+0.06201171875j),(0.01416015625+0.06201171875j),(0.013671875+0.0615234375j),(0.013671875+0.0625j),(0.01171875+0.0625j)
2,(-0.017303466796875-0.016845703125j),(-0.017333984375-0.016357421875j),(-0.0166015625-0.0166015625j),(-0.017578125-0.0166015625j),(-0.017578125-0.017578125j),(-0.015625-0.015625j)
3,(-0.098724365234375-0.002471923828125j),(-0.098876953125-0.002685546875j),(-0.09912109375-0.00146484375j),(-0.099609375-0.0029296875j),(-0.09765625-0.001953125j),(-0.09765625-0.00390625j)
4,(0.106353759765625-0.016387939453125j),(0.106353759765625-0.016204833984375j),(0.10595703125-0.0166015625j),(0.1064453125-0.0166015625j),(0.107421875-0.015625j),(0.10546875-0.015625j)
5,(-0.021148681640625-0.001556396484375j),(-0.021331787109375-0.002105712890625j),(-0.0205078125-0.00146484375j),(-0.021484375-0.001953125j),(-0.01953125-0.001953125j),(-0.01953125+0j)
6,(0.047576904296875-6.103515625e-05j),(0.047637939453125+0.0001220703125j),(0.04736328125+0j),(0.046875+0j),(0.046875+0j),(0.046875+0j)
7,(-0.029876708984375-0.020233154296875j),(-0.02984619140625-0.020172119140625j),(-0.02978515625-0.02001953125j),(-0.0302734375-0.0205078125j),(-0.029296875-0.01953125j),(-0.03125-0.01953125j)
8,(0.080474853515625-0.035675048828125j),(0.080078125-0.03564453125j),(0.080322265625-0.0355224609375j),(0.080078125-0.03515625j),(0.080078125-0.03515625j),(0.08203125-0.03515625j)
9,(0.0906982421875+0.02886962890625j),(0.091156005859375+0.029388427734375j),(0.09149169921875+0.028900146484375j),(0.08984375+0.029296875j),(0.08984375+0.02734375j),(0.08984375+0.02734375j)
10,(0.016845703125+0.021026611328125j),(0.016815185546875+0.021026611328125j),(0.017242431640625+0.021331787109375j),(0.017578125+0.021484375j),(0.017578125+0.021484375j),(0.015625+0.01953125j)
11,(-0.021331787109375+0.129791259765625j),(-0.021331787109375+0.12969970703125j),(-0.021697998046875+0.12957763671875j),(-0.0205078125+0.1298828125j),(-0.021484375+0.130859375j),(-0.01953125+0.12890625j)
12,(0.05963134765625-0.047698974609375j),(0.059844970703125-0.04754638671875j),(0.059661865234375-0.048309326171875j),(0.0595703125-0.0478515625j),(0.060546875-0.046875j),(0.05859375-0.046875j)
13,(0.00994873046875+0.00030517578125j),(0.010162353515625+0.000396728515625j),(0.010345458984375+0.0008544921875j),(0.009765625+0.0009765625j),(0.009765625+0j),(0.01171875+0j)
14,(-0.00152587890625+0.04132080078125j),(-0.000823974609375+0.041107177734375j),(-0.0010986328125+0.0411376953125j),(-0.0009765625+0.041015625j),0.041015625j,0.04296875j
15,(0.025848388671875+0.00665283203125j),(0.02569580078125+0.006439208984375j),(0.0269775390625+0.007354736328125j),(0.0263671875+0.005859375j),(0.02734375+0.005859375j),(0.02734375+0.0078125j)
16,(-0.00244140625+0.0738525390625j),(-0.00244140625+0.07373046875j),(-0.00244140625+0.0732421875j),(-0.001953125+0.0732421875j),(-0.001953125+0.07421875j),(-0.00390625+0.07421875j)
17,(-0.074462890625+0.0328369140625j),(-0.07373046875+0.03271484375j),(-0.07373046875+0.03271484375j),(-0.0732421875+0.033203125j),(-0.07421875+0.033203125j),(-0.07421875+0.03125j)
18,(0.066131591796875+0.07635498046875j),(0.06591796875+0.076171875j),(0.06591796875+0.07666015625j),(0.0673828125+0.076171875j),(0.06640625+0.076171875j),(0.06640625+0.078125j)
19,(-0.003753662109375+0.028167724609375j),(-0.003173828125+0.028564453125j),(-0.0029296875+0.0283203125j),(-0.00390625+0.0283203125j),(-0.001953125+0.02734375j),(-0.00390625+0.02734375j)
20,(0.045684814453125-0.008026123046875j),(0.0455322265625-0.008392333984375j),(0.04541015625-0.0078125j),(0.0458984375-0.0087890625j),(0.044921875-0.0078125j),(0.046875-0.0078125j)
21,(0.088348388671875-0.01043701171875j),(0.088592529296875-0.01019287109375j),(0.087890625-0.01025390625j),(0.0888671875-0.0107421875j),(0.087890625-0.009765625j),(0.08984375-0.01171875j)
22,(0.0177001953125+0.092864990234375j),(0.017578125+0.092987060546875j),(0.01806640625+0.0927734375j),(0.017578125+0.091796875j),(0.017578125+0.091796875j),(0.01953125+0.09375j)
23,(-0.063201904296875+0.008209228515625j),(-0.0628662109375+0.008148193359375j),(-0.06298828125+0.00830078125j),(-0.0625+0.0078125j),(-0.0625+0.0078125j),(-0.0625+0.0078125j)
24,(0.0716552734375+0.015838623046875j),(0.071807861328125+0.015625j),(0.072052001953125+0.016204833984375j),(0.072265625+0.015625j),(0.072265625+0.015625j),(0.0703125+0.015625j)
25,(-0.010101318359375-0.02685546875j),(-0.009490966796875-0.026885986328125j),(-0.0096435546875-0.026885986328125j),(-0.0087890625-0.0263671875j),(-0.009765625-0.02734375j),(-0.0078125-0.02734375j)
26,(-0.023529052734375+0.039459228515625j),(-0.023406982421875+0.0386962890625j),(-0.023834228515625+0.039703369140625j),(-0.0234375+0.0390625j),(-0.0234375+0.0390625j),(-0.0234375+0.0390625j)
