,0,1,2,3,4,5,6
0,(-0.83782958984375+0j),(-0.57000732421875+0j),(-0.236053466796875+0j),(0.023250579833984375+0j),(0.05529975891113281+0j),(0.07740116119384766+0j),(0.02053213119506836+0j)
1,(0.213592529296875+0j),(0.1689605712890625+0j),(0.120391845703125+0j),(0.050174713134765625+0j),(-0.13924789428710938+0j),(-0.03633689880371094+0j),(-0.06987813115119934+0.06639916449785233j)
2,(0.995452880859375+0j),(0.7182464599609375+0j),(0.6511917114257812+0j),(0.35785675048828125+0j),(0.0995025634765625+0j),(-0.022101402282714844+0j),(-0.05638725310564041-0.07874459028244019j)
3,(-0.718841552734375+0j),(-0.0213775634765625+0j),(-0.3457489013671875+0j),(-0.21284103393554688+0j),(0.0665740966796875+0j),(-6.301481060790581e-18+0.10291099548339844j),(0.04978010430932045-0.026394926011562347j)
4,(0.704559326171875+0j),(0.4104461669921875+0j),(0.3132171630859375+0j),(0.08734893798828125+0j),(-0.03204917907714844+0j),(-0.016024589538574212-0.12917709350585938j),(-0.021324340254068375-0.06654103845357895j)
5,(-0.70086669921875+0j),(-0.3116607666015625+0j),(-0.234039306640625+0j),(-0.3286705017089844+0j),(0.13394201021804505-0.13394201021804505j),(0.16575917192110107+0.03181716170305604j),(-0.02976830117404461-0.010789037682116032j)
6,(-0.16796875+0j),(-0.185638427734375+0j),(0.00424957275390625+0j),(-0.15885162353515625+0j),(1.5819631408510902e-17-0.25835418701171875j),(-0.016024589538574226+0.12917709350585938j),(0.04317663609981537-0.06695674359798431j)
7,(0.79180908203125+0j),(0.6476898193359375+0j),(0.32561492919921875+0j),(0.3459892272949219+0j),(0.1975763336241571+0.19757633362415714j),(-0.1657591719211011+0.03181716170305602j),(0.008803301490843296+0.06283841282129288j)
8,(-0.400604248046875+0j),(-0.2293243408203125+0j),(0.28255462646484375+0j),(-0.2593040466308594+0j),(-0.1296520233154297-0.11293411254882812j),(-0.04180371712712408-0.13715433176282193j),(0.07486729323863983-0.04867996647953987j)
9,(0.3626708984375+0j),(0.6510009765625+0j),(-0.02004241943359375+0j),(0.06487217161153891-0.026870933302094297j),(0.014329190536984397-0.057149378781417265j),(-0.0008449652057979946+0.004072251798568717j),(-0.04945153370499611-0.06957720965147018j)
10,(-0.84686279296875+0j),(0.0017852783203125+0j),(0.06452178955078125+0j),(0.2074191400379973-0.2074191400379973j),(0.04604458906118153-0.16137455097681577j),(-0.08784830618830561+0.024220219213993824j),(-0.025857985019683838+0.015200119465589523j)
11,(0.72088623046875+0j),(0.148468017578125+0j),(-0.07993316650390625+0j),(-0.05086163889706457+0.12279085842981621j),(-0.016019120948580386+0.0652938823785547j),(-0.06122163057998598-0.015174155742782395j),(0.08572414517402649+0.01963741146028042j)
12,(-0.06463623046875+0j),(0.452606201171875+0j),(-0.138519287109375+0j),(1.383043994474693e-17-0.22586822509765625j),(-0.1296520233154297+0.11293411254882812j),(-0.08784830618830561-0.024220219213993824j),(-0.013313338160514832-0.01969718746840954j)
13,(-0.992645263671875+0j),(-0.073211669921875+0j),(-0.42330169677734375+0j),(-0.036213790537570116-0.08742782426074024j),(0.05714937878141728-0.014329190536984397j),(0.06122163057998599-0.015174155742782382j),(-0.06377411633729935-0.04585275053977966j)
14,(-0.709442138671875+0j),(-0.296173095703125+0j),(-0.32195281982421875+0j),(-0.11532996191563424-0.11532996191563426j),(-0.046044589061181515-0.16137455097681577j),(-0.041803717127124086+0.13715433176282193j),(-0.03502609580755234+0.04995215684175491j)
15,(-0.077239990234375+0j),(0.3629302978515625+0j),(0.366363525390625+0j),(0.0188233969999038+0.007796906327293187j),(0.0652938823785547-0.01601912094858037j),(0.0008449652057979857+0.00407225179856871j),(-0.04186587035655975-0.0162240918725729j)
16,(0.571258544921875+0j),(0.097900390625+0j),(-0.333953857421875+0j),(-0.16697692871093753+0.2559394836425781j),(-0.1707978526819083+0.006284709499788155j),(-0.08671462860088622+0.027875904893608326j),(-0.011050701141357422+0.05145549774169922j)
17,(0.11688232421875+0j),(0.0718231201171875+0j),(0.04763549114263126-0.009475288314473513j),(-0.04163929053452145-0.33381238680961917j),(-0.10437299314184173-0.19939612154927291j),(-0.02605987600089113-0.18536508898992826j),(0.0860070213675499-0.000841884408146143j)
18,(0.948516845703125+0j),(0.584136962890625+0j),(0.06195050972932205-0.02566074132581157j),(0.04297936659080441+0.016150118670591497j),(-0.0026314045198641348+0.0494671002874285j),(-0.08408322408102209-0.02159119539382017j),(-0.04905712977051735+0.028360961005091667j)
19,(-0.81805419921875+0j),(-0.6701202392578125+0j),(0.26970491055797585-0.18021105977677465j),(0.07140600574778437-0.18505985187745172j),(0.05225324114005947-0.1713340564305836j),(-0.014031032559344658+0.0783131171409506j),(-0.05583649501204491-0.016747156158089638j)
20,(-0.1751708984375+0j),(0.2159881591796875+0j),(0.0687512879901227-0.0687512879901227j),(-0.1746187766528791-0.24337006464300182j),(0.00382092397097078+0.24965477414278997j),(-0.014748028822933114+0.10202200151606071j),(-0.07453496754169464+0.004523031879216433j)
21,(-0.834625244140625+0j),(-0.1564178466796875+0j),(-0.043124172597819775+0.06453988522007824j),(-0.167106695749162-0.06497985628892666j),(-0.05068722614478422-0.13940607918993697j),(-0.03696793945751804-0.07162176294243454j),(-0.08682813495397568-0.013198522850871086j)
