,0,1,2,3,4,5,6
0,(-0.8531494140625+0j),(-0.021148681640625+0j),(0.36163330078125+0j),(0.14373779296875+0j),(0.045928955078125+0j),(0.075958251953125+0j),(-0.015869140625+0j)
1,(0.188720703125+0j),(0.165740966796875+0j),(-0.076507568359375+0j),(-0.1263427734375+0j),(-0.249237060546875+0j),(-0.107666015625+0j),(0.048431396484375-0.006195068359375j)
2,(0.9788818359375+0j),(0.142852783203125+0j),(0.351104736328125+0j),(0.1568603515625+0j),(0.10595703125+0j),(-0.030029296875+0j),(0.002044677734375-0.03619384765625j)
3,(-0.312042236328125+0j),(0.297119140625+0j),(-0.05621337890625+0j),(-0.082763671875+0j),(0.033935546875+0j),0.1416015625j,(-0.101806640625-0.075347900390625j)
4,(0.08795166015625+0j),(-0.2393798828125+0j),(0.01434326171875+0j),(-0.051910400390625+0j),(0.09783935546875+0j),(0.048919677734375-0.025482177734375j),(0.072601318359375+0.0147705078125j)
5,(-0.251312255859375+0j),(-0.570709228515625+0j),(-0.73675537109375+0j),(-0.37213134765625+0j),(0.086883544921875-0.086883544921875j),(0.084716796875-0.002197265625j),(-0.004791259765625+0.017303466796875j)
6,(0.479217529296875+0j),(0.158111572265625+0j),(0.015777587890625+0j),(0.055023193359375+0j),-0.050933837890625j,(0.048919677734375+0.025482177734375j),(-0.0482177734375+0.033599853515625j)
7,(0.370941162109375+0j),(0.0628662109375+0j),(0.148590087890625+0j),(0.150634765625+0j),(0.08251953125+0.08251953125j),(-0.084716796875-0.002197265625j),(-0.001495361328125+0.02410888671875j)
8,(0.19744873046875+0j),(0.44891357421875+0j),(-0.07415771484375+0j),(0.2178955078125+0j),(0.10894775390625-0.03314208984375j),(0.09576416015625-0.043975830078125j),(0.06683349609375-0.01385498046875j)
9,(0.9521484375+0j),(0.12261962890625+0j),(-0.1761474609375+0j),(0.046051025390625-0.019073486328125j),(0.092803955078125+0.158905029296875j),(0.0494384765625+0.073516845703125j),(-0.09637451171875-0.004119873046875j)
10,(0.40582275390625+0j),(-0.23614501953125+0j),(-0.03741455078125+0j),(0.137359619140625-0.137359619140625j),(0.082550048828125-0.0548095703125j),(0.013214111328125+0.010833740234375j),(-0.015655517578125-0.0799560546875j)
11,(-0.3143310546875+0j),(-0.215667724609375+0j),(-0.10931396484375+0j),(0.010162353515625-0.0245361328125j),(0.00604248046875-0.011871337890625j),(0.08538818359375-0.04339599609375j),(-0.03887939453125-0.0133056640625j)
12,(-0.2401123046875+0j),(-0.57867431640625+0j),(-0.118133544921875+0j),-0.066253662109375j,(0.10894775390625+0.03314208984375j),(0.013214111328125-0.010833740234375j),(-0.036102294921875-0.027130126953125j)
13,(0.26727294921875+0j),(0.296600341796875+0j),(-0.00750732421875+0j),(0.1395263671875+0.33685302734375j),(-0.158905029296875-0.092803955078125j),(-0.08538818359375-0.04339599609375j),(-0.0491943359375-0.0601806640625j)
14,(0.384033203125+0j),(0.17999267578125+0j),(0.09423828125+0j),(0.027740478515625+0.027740478515625j),(-0.082550048828125-0.0548095703125j),(0.09576416015625+0.043975830078125j),(0.03369140625+0.0306396484375j)
15,(-0.555999755859375+0j),(0.09619140625+0j),(0.15264892578125+0j),(0.00189208984375+0.00079345703125j),(-0.011871337890625+0.006011962890625j),(-0.049407958984375+0.073516845703125j),(0.02508544921875-0.096466064453125j)
16,(0.6180419921875+0j),(0.744384765625+0j),(-0.382781982421875+0j),(-0.19140625-0.26153564453125j),(-0.05914306640625-0.0045166015625j),(-0.047210693359375+0.0101318359375j),(-0.0150146484375+0.07080078125j)
17,(-0.10595703125+0j),(-0.3187255859375+0j),(0.237579345703125-0.0472412109375j),(0.08966064453125-0.170135498046875j),(0.00469970703125-0.161834716796875j),(0.051300048828125-0.08251953125j),(-0.1270751953125+0.009521484375j)
18,(0.5447998046875+0j),(0.559326171875+0j),(-0.1923828125+0.079681396484375j),(-0.05816650390625+0.13165283203125j),(-0.0352783203125+0.024749755859375j),(-0.011932373046875-0.0146484375j),(-0.045623779296875+0.0159912109375j)
19,(-0.817840576171875+0j),(-0.409515380859375+0j),(0.29376220703125-0.1962890625j),(0.176422119140625-0.053924560546875j),(0.097869873046875-0.003204345703125j),(-0.079315185546875+0.046600341796875j),(-0.041717529296875-0.001373291015625j)
20,(-0.36480712890625+0j),(0.26806640625+0j),(-0.179412841796875+0.179412841796875j),(0.0731201171875+0.252532958984375j),(-0.13226318359375-0.257049560546875j),(-0.012664794921875-0.117095947265625j),(0.04931640625-0.01629638671875j)
21,(-0.96441650390625+0j),(-0.90277099609375+0j),(0.092254638671875-0.1380615234375j),(-0.080291748046875-0.15350341796875j),(0.05419921875-0.06597900390625j),(-0.01861572265625-0.042816162109375j),(-0.04071044921875-0.002044677734375j)
22,(-0.166107177734375+0j),(-0.1265869140625+0j),(0.054473876953125-0.13153076171875j),(-0.01239013671875-0.082183837890625j),(0.10693359375+0.02288818359375j),(-0.119598388671875-0.139984130859375j),(0.00299072265625+0.037109375j)
23,(-0.491973876953125+0j),(0.23431396484375+0j),(-0.0167236328125+0.084075927734375j),(0.019317626953125+0.04754638671875j),(-0.0914306640625-0.0196533203125j),(-0.023162841796875-0.07281494140625j),(-0.1065673828125+0.0001220703125j)
24,(-0.306182861328125+0j),(-0.59722900390625+0j),-0.5230712890625j,(-0.19140625+0.26153564453125j),(-0.13226318359375+0.257049560546875j),(-0.119598388671875+0.139984130859375j),(-0.017913818359375+0.01165771484375j)
25,(-0.558746337890625+0j),(-0.47491455078125+0j),(-0.05828857421875-0.29302978515625j),(0.1837158203125+0.056915283203125j),(0.06597900390625-0.05419921875j),(0.023162841796875-0.07281494140625j),(-0.106109619140625-0.008514404296875j)
26,(0.70330810546875+0j),(0.16131591796875+0j),(0.0760498046875+0.18359375j),(-0.13165283203125+0.05816650390625j),(-0.10693359375+0.022918701171875j),(-0.012664794921875+0.1170654296875j),(-0.071380615234375-0.106414794921875j)
27,(0.270416259765625+0j),(-0.002960205078125+0j),(0.05908203125+0.08843994140625j),(-0.086639404296875-0.162872314453125j),(-0.019683837890625-0.0914306640625j),(0.01861572265625-0.0428466796875j),(0.094085693359375-0.013153076171875j)
28,(-0.3004150390625+0j),(0.3424072265625+0j),(0.325653076171875+0.325653076171875j),(-0.0731201171875+0.252532958984375j),(-0.05914306640625+0.0045166015625j),(-0.011932373046875+0.0146484375j),(0.023193359375+0.058746337890625j)
