,0,1,2,3,4,5,6
0,(-0.83294677734375+0j),(-0.5427093505859375+0j),(0.0215606689453125+0j),(0.10783767700195312+0j),(0.13084983825683594+0j),(0.15913963317871094+0j),(0.12137460708618164+0j)
1,(-0.655242919921875+0j),(0.05841064453125+0j),(-0.04166412353515625+0j),(0.007122039794921875+0j),(0.06851959228515625+0j),(0.08360958099365234+0j),(0.027787428349256516+0.004955381620675325j)
2,(0.36761474609375+0j),(0.511993408203125+0j),(0.5547866821289062+0j),(0.3401336669921875+0j),(0.18742942810058594+0j),(-0.028289794921875+0j),(-0.06962917745113373+0.07824285328388214j)
3,(-0.677276611328125+0j),(-0.6242523193359375+0j),(-0.30609130859375+0j),(0.003170013427734375+0j),(0.09869956970214844+0j),(-9.239953185514721e-19+0.015089988708496094j),(-0.0602058582007885-0.08318677544593811j)
4,(0.898406982421875+0j),(0.2143096923828125+0j),(0.3224334716796875+0j),(0.15386199951171875+0j),(-0.023012161254882812+0j),(-0.011506080627441401-0.07635211944580078j),(-0.02485654130578041-0.001437174854800105j)
5,(0.68865966796875+0j),(-0.1114959716796875+0j),(-0.06688690185546875+0j),(0.12991714477539062+0j),(-0.04341462571410173+0.04341462571410173j),(0.012067485665639175+0.055482111379740906j),(-0.05657772719860077-0.015835216268897057j)
6,(0.4847412109375+0j),(0.673797607421875+0j),(0.286651611328125+0j),(0.034725189208984375+0j),(9.35043786874163e-18-0.15270423889160156j),(-0.011506080627441411+0.07635211944580078j),(-0.0694022923707962-0.07265079021453857j)
7,(-0.069122314453125+0j),(-0.4752655029296875+0j),(0.1921844482421875+0j),(0.1942291259765625+0j),(0.06754959704538008+0.06754959704538009j),(-0.012067485665639185+0.055482111379740906j),(-0.017102669924497604+0.03840005770325661j)
8,(0.654022216796875+0j),(0.2179412841796875+0j),(0.19411468505859375+0j),(-0.08627700805664062+0j),(-0.043138504028320306-0.08428573608398438j),(-0.02815832172295928-0.12462323905344755j),(0.0002807025157380849-0.010435003787279129j)
9,(-0.512664794921875+0j),(-0.572662353515625+0j),(0.055908203125+0j),(-0.045072537770411855+0.018669656435078175j),(0.01512055514881229+0.100246443516363j),(-0.021554759500487946+0.12174888923480714j),(-0.0034754001535475254+0.06081156060099602j)
10,(0.20660400390625+0j),(-0.19976806640625+0j),(0.12548065185546875+0j),(0.15178260260531246-0.15178260260531246j),(-0.013178139417598253-0.16496074202291072j),(-0.014980182305361026+0.040337502969463174j),(0.04956139624118805+0.013170224614441395j)
11,(-0.25885009765625+0j),(0.31182861328125+0j),(0.31243133544921875+0j),(-0.11834918420894698+0.28572020561303146j),(-0.05823007414978818+0.1432513349532513j),(-0.021502445718444143-0.03667531464930024j),(-0.02626686356961727+0.07651622593402863j)
12,(-0.019134521484375+0j),(-0.073699951171875+0j),(-0.01470947265625+0j),(1.0322025690903003e-17-0.16857147216796875j),(-0.04313850402832032+0.08428573608398438j),(-0.014980182305361021-0.040337502969463174j),(0.003261131700128317-0.0385064072906971j)
13,(0.927886962890625+0j),(0.59765625+0j),(0.32672119140625+0j),(0.07531364806803643+0.18182323059764782j),(-0.100246443516363-0.015120555148812297j),(0.021502445718444146-0.03667531464930021j),(-0.03628312051296234+0.08838297426700592j)
14,(-0.56671142578125+0j),(0.046905517578125+0j),(-0.21720123291015625+0j),(-0.17813888144050896-0.178138881440509j),(0.013178139417598277-0.16496074202291072j),(-0.028158321722959297+0.12462323905344755j),(-0.01598411053419113-0.042612578719854355j)
15,(0.509521484375+0j),(0.278289794921875+0j),(0.1962738037109375+0j),(0.0018890359093706119+0.0007824642934711006j),(0.1432513349532513-0.05823007414978813j),(0.02155475950048791+0.12174888923480714j),(0.026889540255069733-0.029887061566114426j)
16,(0.532745361328125+0j),(0.5858306884765625+0j),(-0.56427001953125+0j),(-0.282135009765625-0.011913299560546875j),(-0.14975312742393754+0.023585256452770494j),(-0.07624118828635228-0.00594220039196058j),(-0.0141448974609375+0.007544994354248047j)
17,(-0.82513427734375+0j),(-0.1417388916015625+0j),(0.09815185945929851-0.019523618727764543j),(0.1103899458820875+0.29848456546011276j),(-0.00731946192024166+0.12088419081900915j),(-0.06301716353479915+0.16242790708732113j),(0.06477663666009903-0.016561074182391167j)
18,(0.98541259765625+0j),(0.5975799560546875+0j),(-0.03953582990917822+0.016376276948057468j),(0.042465732983781174+0.1584334553627947j),(-0.0027292491487670226-0.035469657236691654j),(-0.07351193913758526+0.029527456844731074j),(-0.057527828961610794-0.013085122220218182j)
19,(-0.102874755859375+0j),(0.0120697021484375+0j),(-0.26454121225159255+0.17676078687578925j),(-0.13210317887814405+0.08863096602155819j),(-0.11871486514935664+0.2039716233556331j),(-0.04154371626831197-0.05569770161455749j),(-0.04769609868526459+0.036216504871845245j)
20,(0.086944580078125+0j),(0.4305572509765625+0j),(-0.07645505754833795+0.07645505754833795j),(-0.01737124508225009+0.05908381246608786j),(-0.13238188234168746-0.03549855601331737j),(0.03076061512889945-0.040346769072932775j),(-0.018241314217448235+0.0018310941522940993j)
21,(-0.395965576171875+0j),(-0.02227783203125+0j),(-0.02478347131702892+0.03709108599192033j),(-0.12502886972257082-0.05671618382209446j),(0.20881554971647542+0.042349308783516074j),(0.06836217809765784+0.06668721857861643j),(0.02413920871913433-0.03368409723043442j)
22,(0.114501953125+0j),(-0.100494384765625+0j),(0.1481543586115579-0.3576762618847102j),(-0.04792423128131522-0.22937276983617802j),(0.19390311259948637-0.04519498213254818j),(-0.1631424974705869+0.004848213059615407j),(-0.018800782039761543+0.053516995161771774j)
