,0,1,2,3,4,5
0,(-0.026611328125+0j),(-0.02685546875+0j),(-0.026611328125+0j),(-0.02734375+0j),(-0.0263671875+0j),(-0.02734375+0j)
1,(-0.0040283203125+0.0555419921875j),(-0.0040283203125+0.0557861328125j),(-0.00390625+0.055908203125j),(-0.00439453125+0.05517578125j),(-0.0048828125+0.0556640625j),(-0.00390625+0.056640625j)
2,(-0.06494140625-0.03887939453125j),(-0.0648193359375-0.0390625j),(-0.064453125-0.0390625j),(-0.06494140625-0.0390625j),(-0.0654296875-0.0380859375j),(-0.064453125-0.0390625j)
3,(-0.0330810546875-0.019622802734375j),(-0.0328369140625-0.0196533203125j),(-0.032958984375-0.019775390625j),(-0.033203125-0.01953125j),(-0.033203125-0.01953125j),(-0.033203125-0.01953125j)
4,(-0.007049560546875+0.055755615234375j),(-0.007110595703125+0.055755615234375j),(-0.007080078125+0.055908203125j),(-0.0068359375+0.0556640625j),(-0.0078125+0.0556640625j),(-0.0078125+0.056640625j)
5,(-0.032073974609375-0.0213623046875j),(-0.03204345703125-0.021514892578125j),(-0.031982421875-0.021240234375j),(-0.0322265625-0.02099609375j),(-0.0322265625-0.021484375j),(-0.03125-0.021484375j)
6,(-0.017822265625+0.07672119140625j),(-0.017486572265625+0.07684326171875j),(-0.017822265625+0.0771484375j),(-0.017578125+0.07666015625j),(-0.0185546875+0.0771484375j),(-0.017578125+0.076171875j)
7,(-0.0914306640625+0.056732177734375j),(-0.091461181640625+0.056671142578125j),(-0.091552734375+0.05712890625j),(-0.091796875+0.05712890625j),(-0.091796875+0.056640625j),(-0.091796875+0.056640625j)
8,(0.035125732421875+0.06146240234375j),(0.03509521484375+0.0614013671875j),(0.03533935546875+0.06121826171875j),(0.03515625+0.0615234375j),(0.03515625+0.0615234375j),(0.03515625+0.060546875j)
9,(0.055633544921875-0.026702880859375j),(0.055389404296875-0.02685546875j),(0.055419921875-0.0263671875j),(0.0556640625-0.02685546875j),(0.0556640625-0.0263671875j),(0.0546875-0.02734375j)
10,(0.016632080078125-0.029266357421875j),(0.01666259765625-0.029205322265625j),(0.016571044921875-0.02935791015625j),(0.0166015625-0.02978515625j),(0.0166015625-0.029296875j),(0.017578125-0.029296875j)
11,(-0.03411865234375-0.035247802734375j),(-0.034027099609375-0.0350341796875j),(-0.03387451171875-0.03472900390625j),(-0.03466796875-0.03515625j),(-0.0341796875-0.03515625j),(-0.033203125-0.03515625j)
12,(-0.087738037109375-0.0390625j),(-0.0877685546875-0.039215087890625j),(-0.087921142578125-0.039459228515625j),(-0.087890625-0.0390625j),(-0.087890625-0.0390625j),(-0.087890625-0.0390625j)
13,(-0.0377197265625-0.00042724609375j),(-0.037567138671875-0.000244140625j),(-0.037750244140625-0.000518798828125j),(-0.03759765625-0.0009765625j),(-0.0380859375-0.0009765625j),(-0.037109375+0j)
14,(0.10723876953125-0.074371337890625j),(0.107269287109375-0.0743408203125j),(0.107269287109375-0.073944091796875j),(0.107421875-0.07470703125j),(0.1064453125-0.07421875j),(0.107421875-0.07421875j)
15,(0.03271484375+0.024139404296875j),(0.03265380859375+0.0238037109375j),(0.032745361328125+0.024169921875j),(0.03271484375+0.02392578125j),(0.0322265625+0.0244140625j),(0.033203125+0.0234375j)
16,(-0.01800537109375+0.00335693359375j),(-0.017822265625+0.00341796875j),(-0.017822265625+0.00341796875j),(-0.01806640625+0.00341796875j),(-0.017578125+0.0029296875j),(-0.017578125+0.00390625j)
17,(-0.00146484375-0.0947265625j),(-0.00146484375-0.0947265625j),(-0.001220703125-0.0947265625j),(-0.00146484375-0.09521484375j),(-0.0009765625-0.0947265625j),(-0.001953125-0.095703125j)
18,(-0.00897216796875+0.006561279296875j),(-0.0087890625+0.0064697265625j),(-0.0087890625+0.00634765625j),(-0.0087890625+0.00634765625j),(-0.0087890625+0.005859375j),(-0.009765625+0.005859375j)
19,(-0.0267333984375+0.0455322265625j),(-0.026611328125+0.045654296875j),(-0.026611328125+0.045166015625j),(-0.02685546875+0.04541015625j),(-0.0263671875+0.0458984375j),(-0.02734375+0.044921875j)
20,(0.08062744140625+0.096923828125j),(0.080657958984375+0.096649169921875j),(0.080322265625+0.096923828125j),(0.0810546875+0.0966796875j),(0.080078125+0.09765625j),(0.080078125+0.09765625j)
21,(0.141082763671875+0.036407470703125j),(0.140869140625+0.036163330078125j),(0.141357421875+0.035888671875j),(0.14111328125+0.0361328125j),(0.1416015625+0.037109375j),(0.140625+0.037109375j)
