,0,1,2,3,4,5,6
0,(-0.09521484375+0j),(-0.047821044921875+0j),(0.446197509765625+0j),(0.02520751953125+0j),(0.00732421875+0j),(0.05267333984375+0j),(0.01263427734375+0j)
1,(0.119537353515625+0j),(0.222198486328125+0j),(0.517120361328125+0j),(0.2320556640625+0j),(0.172637939453125+0j),(-0.02740478515625+0j),(0.014801025390625+0.050689697265625j)
2,(0.848419189453125+0j),(0.38153076171875+0j),(0.01800537109375+0j),(-0.19305419921875+0j),(0.098052978515625+0j),(-0.04534912109375+0j),(0.02783203125-0.0582275390625j)
3,(-0.068695068359375+0j),(-0.25616455078125+0j),(-0.215423583984375+0j),(-0.330841064453125+0j),(-0.22747802734375+0j),-0.200042724609375j,(-0.0416259765625+0.0509033203125j)
4,(0.015655517578125+0j),(0.505462646484375+0j),(0.286590576171875+0j),(-0.010528564453125+0j),(0.017852783203125+0j),(0.0089111328125+0.145538330078125j),(0.128631591796875-0.06097412109375j)
5,(0.17474365234375+0j),(0.583038330078125+0j),(0.034027099609375+0j),(0.113250732421875+0j),(0.0419921875-0.0419921875j),(0.057525634765625+0.015533447265625j),(0.007080078125-0.0391845703125j)
6,(-0.63067626953125+0j),(0.024871826171875+0j),(0.26678466796875+0j),(0.389190673828125+0j),0.291107177734375j,(0.0089111328125-0.145538330078125j),(-0.068267822265625+0.018585205078125j)
7,(0.0238037109375+0j),(0.219696044921875+0j),(-0.161651611328125+0j),(-0.1241455078125+0j),(0.07305908203125+0.07305908203125j),(-0.057525634765625+0.015533447265625j),(0.12860107421875-0.014801025390625j)
8,(0.259735107421875+0j),(-0.054840087890625+0j),(-0.395782470703125+0j),(0.420989990234375+0j),(0.210479736328125-0.1485595703125j),(0.1641845703125-0.089935302734375j),(0.033203125+0.080535888671875j)
9,(0.5859375+0j),(0.02264404296875+0j),(-0.052978515625+0j),(0.2633056640625-0.109039306640625j),(0.14678955078125-0.017913818359375j),(0.09307861328125-0.032012939453125j),(-0.022857666015625-0.07122802734375j)
10,(-0.811737060546875+0j),(-0.6168212890625+0j),(-0.40411376953125+0j),(0.14923095703125-0.14923095703125j),(0.117889404296875-0.031341552734375j),(0.046295166015625-0.05859375j),(-0.008026123046875+0.009674072265625j)
11,(-0.3931884765625+0j),(-0.6263427734375+0j),(-0.4462890625+0j),(0.044158935546875-0.106597900390625j),(0.039398193359375-0.046112060546875j),(0.01409912109375-0.053680419921875j),(0.01531982421875-0.026702880859375j)
12,(-0.818634033203125+0j),(-0.143035888671875+0j),(-0.307647705078125+0j),-0.297119140625j,(0.210479736328125+0.1485595703125j),(0.046295166015625+0.05859375j),(0.01611328125+0.00244140625j)
13,(0.6192626953125+0j),(0.21002197265625+0j),(0.1925048828125+0j),(0.030303955078125+0.07318115234375j),(0.0179443359375-0.146728515625j),(-0.014068603515625-0.053680419921875j),(-0.061981201171875+0.145965576171875j)
14,(0.386871337890625+0j),(0.540008544921875+0j),(0.5115966796875+0j),(0.0865478515625+0.0865478515625j),(-0.117889404296875-0.031341552734375j),(0.1641845703125+0.089935302734375j),(-0.023651123046875+0.094451904296875j)
15,(-0.916229248046875+0j),(-0.57159423828125+0j),(-0.086639404296875+0j),(0.034637451171875+0.01434326171875j),(-0.04608154296875+0.03936767578125j),(-0.093048095703125-0.032012939453125j),(-0.0428466796875-0.003173828125j)
16,(0.964385986328125+0j),(0.940216064453125+0j),(-0.4940185546875+0j),(-0.24700927734375-0.17047119140625j),(-0.113922119140625-0.15301513671875j),(-0.0196533203125-0.042755126953125j),(-0.022674560546875-0.100006103515625j)
17,(0.92950439453125+0j),(0.812042236328125+0j),(-0.28924560546875+0.057525634765625j),(-0.1519775390625-0.00830078125j),(-0.00335693359375-0.12066650390625j),(0.0753173828125-0.07373046875j),(-0.0579833984375+0.010528564453125j)
