,0,1,2,3,4,5
0,(0.02484130859375+0j),(0.0247802734375+0j),(0.025146484375+0j),(0.025390625+0j),(0.0244140625+0j),(0.0234375+0j)
1,(-0.01654052734375-0.04315185546875j),(-0.0164794921875-0.0433349609375j),(-0.016357421875-0.042724609375j),(-0.0166015625-0.04296875j),(-0.0166015625-0.04296875j),(-0.015625-0.04296875j)
2,(0.033905029296875-0.02569580078125j),(0.0343017578125-0.0257568359375j),(0.033447265625-0.02587890625j),(0.03369140625-0.02490234375j),(0.0322265625-0.0263671875j),(0.033203125-0.025390625j)
3,(-0.05389404296875+0.010101318359375j),(-0.053955078125+0.009765625j),(-0.0537109375+0.01025390625j),(-0.0537109375+0.01025390625j),(-0.0537109375+0.009765625j),(-0.052734375+0.009765625j)
4,(0.008941650390625-0.021942138671875j),(0.00921630859375-0.022064208984375j),(0.008544921875-0.021728515625j),(0.0087890625-0.02197265625j),(0.009765625-0.0205078125j),(0.0078125-0.021484375j)
5,(-0.090240478515625-0.041656494140625j),(-0.090179443359375-0.041717529296875j),(-0.09033203125-0.041259765625j),(-0.08984375-0.04150390625j),(-0.08984375-0.041015625j),(-0.08984375-0.041015625j)
6,(0.02203369140625+0.1328125j),(0.02178955078125+0.132415771484375j),(0.021728515625+0.132568359375j),(0.021484375+0.13232421875j),(0.0205078125+0.1318359375j),(0.021484375+0.1328125j)
7,(-0.042022705078125+0.022369384765625j),(-0.0418701171875+0.022125244140625j),(-0.0419921875+0.022216796875j),(-0.04150390625+0.02099609375j),(-0.041015625+0.021484375j),(-0.041015625+0.021484375j)
8,(0.046051025390625-0.077606201171875j),(0.0455322265625-0.077545166015625j),(0.04559326171875-0.077301025390625j),(0.0458984375-0.0771484375j),(0.0458984375-0.0771484375j),(0.044921875-0.076171875j)
9,(0.00396728515625+0.008392333984375j),(0.00421142578125+0.0086669921875j),(0.00445556640625+0.008209228515625j),(0.00439453125+0.00830078125j),(0.00390625+0.0078125j),(0.00390625+0.0078125j)
10,(-0.026214599609375-0.0447998046875j),(-0.02618408203125-0.04486083984375j),(-0.026031494140625-0.044647216796875j),(-0.02685546875-0.0439453125j),(-0.0263671875-0.0439453125j),(-0.025390625-0.04296875j)
