,0,1,2,3,4,5,6
0,(0.296966552734375+0j),(-0.049468994140625+0j),(0.04851531982421875+0j),(0.16964340209960938+0j),(0.08406448364257812+0j),(0.14246082305908203+0j),(0.018158912658691406+0j)
1,(0.4027099609375+0j),(0.4507598876953125+0j),(0.331634521484375+0j),(0.03733062744140625+0j),(-0.022853851318359375+0j),(-0.10614299774169922+0j),(-0.05084699019789696-0.050251130014657974j)
2,(0.914093017578125+0j),(0.8882598876953125+0j),(0.72210693359375+0j),(0.45748138427734375+0j),(0.20085716247558594+0j),(-0.058396339416503906+0j),(-0.034090809524059296-0.01619104854762554j)
3,(-0.607177734375+0j),(-0.0279388427734375+0j),(-0.00885772705078125+0j),(-0.024188995361328125+0j),(-0.18943214416503906+0j),(5.099989328552918e-18-0.08328914642333984j),(0.013895473442971706+0.026973431929945946j)
4,(-0.869232177734375+0j),(-0.404144287109375+0j),(-0.0252532958984375+0j),(-0.001514434814453125+0j),(0.08557891845703125+0j),(0.04278945922851563-0.1283121109008789j),(0.010587704367935658-0.05536462366580963j)
5,(0.64849853515625+0j),(-0.00555419921875+0j),(-0.1060028076171875+0j),(-0.083038330078125+0j),(0.04255685305320801-0.04255685305320801j),(-0.03714384900525686-0.07970070205846488j),(-0.010593900457024574+0.0011767788091674447j)
6,(-0.3338623046875+0j),(0.0406036376953125+0j),(0.09637451171875+0j),(-0.055767059326171875+0j),(1.5713701590660155e-17-0.2566242218017578j),(0.04278945922851562+0.1283121109008789j),(0.00937950611114502-0.006984808016568422j)
7,(-0.2552490234375+0j),(-0.3625640869140625+0j),(-0.18120574951171875+0j),(-0.35467529296875+0j),(-0.11684455106372173-0.11684455106372175j),(0.03714384900525688-0.07970070205846487j),(0.026300057768821716+0.00614535715430975j)
8,(0.629730224609375+0j),(0.8121490478515625+0j),(0.290771484375+0j),(-0.12112808227539062+0j),(-0.06056404113769531+0.011869430541992188j),(-0.010397474616195931-0.0677399989747752j),(0.0028228051960468292-0.10400640964508057j)
9,(-0.63330078125+0j),(-0.64373779296875+0j),(-0.2569732666015625+0j),(0.27190134404466926-0.11262522433077499j),(0.14034473456589436-0.04570440677880999j),(0.03157288269933764-0.042989244714528745j),(0.02670884318649769+0.0002602134773042053j)
10,(0.8193359375+0j),(0.877899169921875+0j),(0.1928558349609375+0j),(0.18711852039684604-0.18711852039684604j),(0.03976909190530345-0.1473494284915426j),(-0.05016656652149938+0.07960942951676739j),(0.006626815069466829-0.08498658984899521j)
11,(-0.01763916015625+0j),(-0.4937591552734375+0j),(-0.039520263671875+0j),(0.00586702237959021-0.014164244999553151j),(-0.07719896916721908-0.0402740826502475j),(-0.0027151620642812406-0.10877185186655672j),(0.05940062180161476+0.019165359437465668j)
12,(-0.8572998046875+0j),(-0.1489410400390625+0j),(0.02222442626953125+0j),(-1.4535860120952566e-18+0.023738861083984375j),(-0.06056404113769531-0.011869430541992188j),(-0.050166566521499374-0.07960942951676739j),(-0.02372570149600506-0.09419064223766327j)
13,(0.835601806640625+0j),(0.26416015625+0j),(-0.0600738525390625+0j),(0.008788125087119446+0.021216410773155007j),(0.04570440677880999-0.14034473456589436j),(0.0027151620642812575-0.10877185186655673j),(0.023312391713261604-0.006863413378596306j)
14,(0.14599609375+0j),(0.147064208984375+0j),(-0.20790863037109375+0j),(-0.10758033658623914-0.10758033658623915j),(-0.039769091905303436-0.1473494284915426j),(-0.010397474616195938+0.0677399989747752j),(0.04264812171459198-0.028001345694065094j)
15,(-0.842529296875+0j),(-0.5054473876953125+0j),(-0.5281448364257812+0j),(-0.16026496071402838-0.06638392030094184j),(-0.04027408265024748-0.0771989691672191j),(-0.031572882699337626-0.04298924471452874j),(0.004360942170023918-0.05182947590947151j)
16,(0.677154541015625+0j),(0.1464996337890625+0j),(-0.09798431396484375+0j),(-0.04899215698242186-0.26068878173828125j),(-0.061217110312206516-0.03310722808226295j),(-0.08785157410062616-0.11415338333704173j),(-0.029198169708251953-0.04164457321166992j)
17,(0.54962158203125+0j),(0.2125091552734375+0j),(0.11683640570233185-0.023240206054381j),(0.09614521084786087+0.1780463741943418j),(-0.005373511778251364+0.02310950477287134j),(0.019669951473342464+0.08177128616416679j),(-0.009753377176821232-0.031008252874016762j)
