,0,1,2,3,4,5
0,(0.1451416015625+0j),(0.1455078125+0j),(0.14501953125+0j),(0.14453125+0j),(0.14453125+0j),(0.14453125+0j)
1,(0.00634765625-0.065185546875j),(0.005859375-0.064697265625j),(0.0048828125-0.0654296875j),(0.005859375-0.0634765625j),(0.005859375-0.064453125j),(0.00390625-0.0625j)
2,(0.00946044921875+0.046783447265625j),(0.010009765625+0.046630859375j),(0.01025390625+0.04638671875j),(0.0107421875+0.046875j),(0.009765625+0.044921875j),(0.0078125+0.046875j)
3,(0.028717041015625+0.041015625j),(0.02880859375+0.040771484375j),(0.0283203125+0.03955078125j),(0.0283203125+0.0390625j),(0.029296875+0.0390625j),(0.02734375+0.0390625j)
4,(0.067626953125+0.03289794921875j),(0.067108154296875+0.03289794921875j),(0.068359375+0.03271484375j),(0.068359375+0.03125j),(0.06640625+0.03125j),(0.06640625+0.03125j)
5,(-0.019134521484375+0.01220703125j),(-0.018829345703125+0.01214599609375j),(-0.01806640625+0.01220703125j),(-0.01953125+0.0126953125j),(-0.01953125+0.01171875j),(-0.015625+0.01171875j)
6,(-0.004852294921875+0.094757080078125j),(-0.004425048828125+0.09454345703125j),(-0.0048828125+0.0947265625j),(-0.005859375+0.0927734375j),(-0.00390625+0.09375j),(-0.00390625+0.09375j)
7,(0.037139892578125-0.038665771484375j),(0.036224365234375-0.039031982421875j),(0.0361328125-0.03857421875j),(0.037109375-0.0380859375j),(0.03515625-0.0390625j),(0.03515625-0.03515625j)
8,(0.015106201171875+0.01654052734375j),(0.01483154296875+0.0164794921875j),(0.01434326171875+0.0169677734375j),(0.0146484375+0.017578125j),(0.015625+0.017578125j),(0.01171875+0.015625j)
9,(0.0460205078125-0.01837158203125j),(0.0447998046875-0.0184326171875j),(0.0452880859375-0.01824951171875j),(0.044921875-0.0185546875j),(0.046875-0.01953125j),(0.04296875-0.015625j)
10,(-0.042388916015625+0.060028076171875j),(-0.04290771484375+0.059844970703125j),(-0.040802001953125+0.059661865234375j),(-0.041015625+0.0595703125j),(-0.04296875+0.05859375j),(-0.0390625+0.05859375j)
11,(-0.001922607421875+0.039031982421875j),(-0.002105712890625+0.03924560546875j),(-0.001617431640625+0.03863525390625j),(-0.0029296875+0.0390625j),(-0.001953125+0.037109375j),0.0390625j
