,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[10, 16, 16, 16, 16, 16]",45.82972847353539
1,"[15, 16, 16, 16, 16, 16]","[10, 15, 16, 16, 16, 16]",45.75182495213142
2,"[14, 16, 16, 16, 16, 16]","[10, 14, 16, 16, 16, 16]",45.593646897308
3,"[13, 16, 16, 16, 16, 16]","[10, 13, 16, 16, 16, 16]",45.17809899105967
4,"[12, 16, 16, 16, 16, 16]","[10, 12, 16, 16, 16, 16]",44.48540502995934
5,"[13, 16, 16, 16, 16, 16]","[10, 13, 16, 16, 16, 16]",45.17809899105967
6,"[13, 15, 16, 16, 16, 16]","[10, 13, 15, 16, 16, 16]",45.110241363548596
7,"[13, 14, 16, 16, 16, 16]","[10, 13, 14, 16, 16, 16]",44.99447908776588
8,"[13, 15, 16, 16, 16, 16]","[10, 13, 15, 16, 16, 16]",45.110241363548596
9,"[13, 15, 15, 16, 16, 16]","[10, 13, 15, 15, 16, 16]",45.001504057393824
10,"[13, 15, 14, 16, 16, 16]","[10, 13, 15, 14, 16, 16]",44.72829586963726
11,"[13, 15, 15, 16, 16, 16]","[10, 13, 15, 15, 16, 16]",45.001504057393824
12,"[13, 15, 15, 15, 15, 16]","[10, 13, 15, 15, 15, 16]",44.62443045819902
13,"[13, 15, 15, 16, 16, 16]","[10, 13, 15, 15, 16, 16]",45.001504057393824
14,"[13, 15, 15, 16, 15, 16]","[10, 13, 15, 15, 16, 15]",44.64374883965803
