,0,1,2,3,4,5,6
0,1.26034644317311e-06,1.6000235890020827e-06,8.25860798524863e-07,4.316365027802912e-07,2.259940390642723e-07,1.175351464951437e-07,6.21727737125774e-08
1,1.26034644317311e-06,1.6189712311049351e-06,8.426175808460585e-07,4.372590377708615e-07,2.2875536419262033e-07,1.1892314471739153e-07,6.289080906773247e-08
2,1.26034644317311e-06,1.6591114094456189e-06,8.791074618449007e-07,4.5583496814347536e-07,2.3718562769580576e-07,1.2320702434952855e-07,6.513845688465502e-08
3,1.26034644317311e-06,1.745408484310868e-06,9.592020775055299e-07,4.968518769530205e-07,2.5827975693749106e-07,1.334899723930604e-07,7.047847620978491e-08
4,1.26034644317311e-06,1.946012121792212e-06,1.1549782025679179e-06,5.964953435314474e-07,3.087471561069121e-07,1.5914244831657943e-07,8.320853530911693e-08
5,1.26034644317311e-06,2.4708664713206612e-06,1.6946448148305937e-06,8.694583626356439e-07,4.468857785345345e-07,2.2893144133196006e-07,1.1866525115072003e-07
6,1.26034644317311e-06,3.986932465712626e-06,3.947321208317862e-06,2.0071591071291747e-06,1.022154819105751e-06,5.189179814200015e-07,2.658549793309855e-07
7,1.26034644317311e-06,2.4708664713206612e-06,1.6946448148305937e-06,8.694583626356439e-07,4.468857785345345e-07,2.2893144133196006e-07,1.1866525115072003e-07
8,1.26034644317311e-06,2.4708664713206612e-06,1.7120793872495261e-06,8.84771244742928e-07,4.51545947290921e-07,2.3131926162963697e-07,1.1994446771860836e-07
9,1.26034644317311e-06,2.4708664713206612e-06,1.750213404247889e-06,9.182199330699422e-07,4.6871321404332037e-07,2.3884510386934773e-07,1.237549271818211e-07
10,1.26034644317311e-06,2.4708664713206612e-06,1.832187357450308e-06,9.961590625896345e-07,5.082394429799823e-07,2.586396736325846e-07,1.3319790578140579e-07
11,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.1780938536642975e-06,5.999716358830171e-07,3.0482436913837524e-07,1.5653915653777376e-07
12,1.26034644317311e-06,2.4708664713206612e-06,2.5154656126223173e-06,1.98464620878902e-06,1.0068142450016925e-06,5.100699956990811e-07,2.60355599808508e-07
13,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.1780938536642975e-06,5.999716358830171e-07,3.0482436913837524e-07,1.5653915653777376e-07
14,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.1913801164420055e-06,6.115435317568606e-07,3.0790231533376913e-07,1.5827030057628017e-07
15,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.2182776437170038e-06,6.357754796543182e-07,3.2011079530162997e-07,1.628226566532628e-07
16,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.2780502023722332e-06,6.920961095376708e-07,3.483483407643609e-07,1.7724342407742995e-07
17,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.2182776437170038e-06,6.357754796543182e-07,3.2011079530162997e-07,1.628226566532628e-07
18,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.2182776437170038e-06,6.42304825980347e-07,3.255119322757338e-07,1.627559661378669e-07
19,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.2182776437170038e-06,6.564708209490047e-07,3.523563454803306e-07,1.761781727401653e-07
20,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.2182776437170038e-06,6.42304825980347e-07,3.255119322757338e-07,1.627559661378669e-07
21,1.26034644317311e-06,2.4708664713206612e-06,2.0203661276080983e-06,1.2182776437170038e-06,6.42304825980347e-07,3.255119322757338e-07,1.7215821294456675e-07
