,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[8, 16, 16, 16, 16, 16]",35.50531080439026
1,"[15, 16, 16, 16, 16, 16]","[8, 15, 16, 16, 16, 16]",35.49928412286337
2,"[14, 16, 16, 16, 16, 16]","[8, 14, 16, 16, 16, 16]",35.46863820553265
3,"[13, 16, 16, 16, 16, 16]","[8, 13, 16, 16, 16, 16]",35.36560124132146
4,"[12, 16, 16, 16, 16, 16]","[8, 12, 16, 16, 16, 16]",35.19319622021556
5,"[11, 16, 16, 16, 16, 16]","[8, 11, 16, 16, 16, 16]",34.807872881774635
6,"[12, 16, 16, 16, 16, 16]","[8, 12, 16, 16, 16, 16]",35.19319622021556
7,"[12, 15, 16, 16, 16, 16]","[8, 12, 15, 16, 16, 16]",35.17050384786548
8,"[12, 14, 16, 16, 16, 16]","[8, 12, 14, 16, 16, 16]",35.13021283640103
9,"[12, 13, 16, 16, 16, 16]","[8, 12, 13, 16, 16, 16]",35.03383863977897
10,"[12, 12, 16, 16, 16, 16]","[8, 12, 12, 16, 16, 16]",34.72399987207199
11,"[12, 13, 16, 16, 16, 16]","[8, 12, 13, 16, 16, 16]",35.03383863977897
12,"[12, 13, 15, 16, 16, 16]","[8, 12, 13, 15, 16, 16]",35.01096312643451
13,"[12, 13, 14, 16, 16, 16]","[8, 12, 13, 14, 16, 16]",34.96436534526305
14,"[12, 13, 15, 16, 16, 16]","[8, 12, 13, 15, 16, 16]",35.01096312643451
15,"[12, 13, 15, 15, 15, 16]","[8, 12, 13, 15, 15, 15]",34.900311297065016
