,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[8, 16, 16, 16, 16, 16]",39.517364840370085
1,"[15, 16, 16, 16, 16, 16]","[8, 15, 16, 16, 16, 16]",39.51277594914553
2,"[14, 16, 16, 16, 16, 16]","[8, 14, 16, 16, 16, 16]",39.50290816356777
3,"[13, 16, 16, 16, 16, 16]","[8, 13, 16, 16, 16, 16]",39.46905878828051
4,"[12, 16, 16, 16, 16, 16]","[8, 12, 16, 16, 16, 16]",39.41045304152726
5,"[11, 16, 16, 16, 16, 16]","[8, 11, 16, 16, 16, 16]",39.30151280659476
6,"[10, 16, 16, 16, 16, 16]","[8, 10, 16, 16, 16, 16]",38.789089874660824
7,"[9, 16, 16, 16, 16, 16]","[8, 9, 16, 16, 16, 16]",37.44527977411248
8,"[8, 16, 16, 16, 16, 16]","[8, 8, 16, 16, 16, 16]",34.19050348325182
9,"[9, 16, 16, 16, 16, 16]","[8, 9, 16, 16, 16, 16]",37.44527977411248
10,"[9, 15, 16, 16, 16, 16]","[8, 9, 15, 16, 16, 16]",37.43736058028475
11,"[9, 14, 16, 16, 16, 16]","[8, 9, 14, 16, 16, 16]",37.43564351610611
12,"[9, 13, 16, 16, 16, 16]","[8, 9, 13, 16, 16, 16]",37.41582479110565
13,"[9, 12, 16, 16, 16, 16]","[8, 9, 12, 16, 16, 16]",37.366781953509005
14,"[9, 11, 16, 16, 16, 16]","[8, 9, 11, 16, 16, 16]",37.21057387080643
15,"[9, 10, 16, 16, 16, 16]","[8, 9, 10, 16, 16, 16]",36.624158010666825
16,"[9, 9, 16, 16, 16, 16]","[8, 9, 9, 16, 16, 16]",34.44209854082941
17,"[9, 10, 16, 16, 16, 16]","[8, 9, 10, 16, 16, 16]",36.624158010666825
18,"[9, 10, 15, 16, 16, 16]","[8, 9, 10, 15, 16, 16]",36.61846599665783
19,"[9, 10, 14, 16, 16, 16]","[8, 9, 10, 14, 16, 16]",36.611257493129614
20,"[9, 10, 13, 16, 16, 16]","[8, 9, 10, 13, 16, 16]",36.59828821138062
21,"[9, 10, 12, 16, 16, 16]","[8, 9, 10, 12, 16, 16]",36.569537039648
22,"[9, 10, 11, 16, 16, 16]","[8, 9, 10, 11, 16, 16]",36.42183035258228
23,"[9, 10, 10, 16, 16, 16]","[8, 9, 10, 10, 16, 16]",35.32727928273295
24,"[9, 10, 9, 16, 16, 16]","[8, 9, 10, 9, 16, 16]",33.12376824804826
25,"[9, 10, 10, 16, 16, 16]","[8, 9, 10, 10, 16, 16]",35.32727928273295
26,"[9, 10, 10, 15, 15, 16]","[8, 9, 10, 10, 15, 15]",35.31518879860488
27,"[9, 10, 10, 14, 14, 16]","[8, 9, 10, 10, 14, 14]",35.29365168080622
28,"[9, 10, 10, 13, 13, 16]","[8, 9, 10, 10, 13, 13]",35.23919443497103
29,"[9, 10, 10, 12, 12, 16]","[8, 9, 10, 10, 12, 12]",35.09133006961591
30,"[9, 10, 10, 11, 11, 16]","[8, 9, 10, 10, 11, 11]",34.18314851170189
