,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[8, 16, 16, 16, 16, 16]",35.49435750843457
1,"[15, 16, 16, 16, 16, 16]","[8, 15, 16, 16, 16, 16]",35.488336396429034
2,"[14, 16, 16, 16, 16, 16]","[8, 14, 16, 16, 16, 16]",35.457728187004335
3,"[13, 16, 16, 16, 16, 16]","[8, 13, 16, 16, 16, 16]",35.35482170757029
4,"[12, 16, 16, 16, 16, 16]","[8, 12, 16, 16, 16, 16]",35.18266024393642
5,"[11, 16, 16, 16, 16, 16]","[8, 11, 16, 16, 16, 16]",34.79785369286204
6,"[12, 16, 16, 16, 16, 16]","[8, 12, 16, 16, 16, 16]",35.18266024393642
7,"[12, 15, 16, 16, 16, 16]","[8, 12, 15, 16, 16, 16]",35.15999477276304
8,"[12, 14, 16, 16, 16, 16]","[8, 12, 14, 16, 16, 16]",35.11974785092057
9,"[12, 13, 16, 16, 16, 16]","[8, 12, 13, 16, 16, 16]",35.02347769787099
10,"[12, 12, 16, 16, 16, 16]","[8, 12, 12, 16, 16, 16]",34.71399854649143
11,"[12, 13, 16, 16, 16, 16]","[8, 12, 13, 16, 16, 16]",35.02347769787099
12,"[12, 13, 15, 16, 16, 16]","[8, 12, 13, 15, 16, 16]",35.00062700060666
13,"[12, 13, 14, 16, 16, 16]","[8, 12, 13, 14, 16, 16]",34.95407783084352
14,"[12, 13, 15, 16, 16, 16]","[8, 12, 13, 15, 16, 16]",35.00062700060666
15,"[12, 13, 15, 15, 15, 16]","[8, 12, 13, 15, 15, 15]",34.8900809704259
