date,daily_sales
1/1/2019,4745.19
1/10/2019,3560.95
1/11/2019,2114.97
1/12/2019,5184.75
1/13/2019,2451.21
1/14/2019,3966.62
1/15/2019,5944.29
1/16/2019,4289.09
1/17/2019,3142.78
1/18/2019,2780.47
1/19/2019,4914.73
1/2/2019,1945.50
1/20/2019,3655.45
1/21/2019,2392.12
1/22/2019,1704.78
1/23/2019,5994.20
1/24/2019,5402.05
1/25/2019,4700.39
1/26/2019,4457.52
1/27/2019,4635.89
1/28/2019,4999.72
1/29/2019,3516.57
1/3/2019,2078.12
1/30/2019,2558.27
1/31/2019,5232.51
1/4/2019,1623.68
1/5/2019,3536.69
1/6/2019,3614.22
1/7/2019,2834.24
1/8/2019,5293.78
1/9/2019,3021.36
2/1/2019,2444.54
2/10/2019,3141.03
2/11/2019,4542.15
2/12/2019,2998.99
2/13/2019,934.25
2/14/2019,2454.10
2/15/2019,6830.79
2/16/2019,2503.78
2/17/2019,5299.59
2/18/2019,1496.03
2/19/2019,4228.13
2/2/2019,4140.97
2/20/2019,2706.42
2/21/2019,1393.75
2/22/2019,2442.32
2/23/2019,2339.58
2/24/2019,2722.47
2/25/2019,4807.23
2/26/2019,2408.16
2/27/2019,5859.46
2/28/2019,2097.03
2/3/2019,5467.95
2/4/2019,2439.51
2/5/2019,3031.13
2/6/2019,2905.43
2/7/2019,7228.22
2/8/2019,5084.67
2/9/2019,3271.90
3/1/2019,2634.37
3/10/2019,3163.25
3/11/2019,2961.25
3/12/2019,3677.54
3/13/2019,2063.63
3/14/2019,7214.63
3/15/2019,2942.42
3/16/2019,3154.48
3/17/2019,1976.29
3/18/2019,1292.85
3/19/2019,5740.41
3/2/2019,6560.31
3/20/2019,5458.21
3/21/2019,1877.52
3/22/2019,3179.15
3/23/2019,4095.04
3/24/2019,3477.48
3/25/2019,2272.97
3/26/2019,1962.52
3/27/2019,2902.81
3/28/2019,2229.42
3/29/2019,4023.25
3/3/2019,4853.19
3/30/2019,4487.06
3/4/2019,3894.46
3/5/2019,6230.90
3/6/2019,3092.61
3/7/2019,1438.26
3/8/2019,3125.41
3/9/2019,7474.05
